Horodateur,Your name,Which paper are you rating?,MC1: System-under-Study (SUS),"Comment for MC1 (Describes the SUS, i.e., the PT, of the system of interest.)",MC2: Physical acting components,"Comment for MC2 (Describes the available acting components in the DT constellation, i.e., the mechanisms the DT can use to act on the PT.)",MC3: Physical sensing components,"Comment for MC3 (Describes the available sensing components in the DT constellation, i.e., the mechanisms the PT can use to transfer data to the DT.)",MC4: Physical-to-Virtual Interaction,"Comment for MC4 (Describes the interactions from the physical world to the virtual world, i.e., the data transmitted from PT to DT, including inputs and events that the DT processes.)",MC5: Virtual-to-Physical Interaction,"Comment for MC5 (Describes the interactions from the virtual world to the physical world, i.e., the data transmitted from DT to PT, including outputs the DT generates as part of its services.)",MC6: Digital Twin Services,"Comment for MC6 (Describes the services, such as optimization, task planning, and visualization, which the DT provides to the users and the physical system.)",MC7: Twinning Timescale,Comment for MC7 (Describes the time-scale use and the time rates for the DT services and DT-to-PT synchronization.),MC8: Multiplicities,"Comment for MC8 (Describes the multiplicities, i.e., the internal twins that compose the DT system, which can be implemented in a centralized or decentralized way.)",MC9: Life-cycle stages,"Comment for MC9 (Describes the lifecycle phases in which the DT takes place. It also informs which representation phase the DT covers of its physical counterpart, i.e., as designed (ideal), as manufactured, or as operated.)",MC10: Digital Twin Models and Data,"Comment for MC10 (Describes the DT components, including available models and data, and their role in the DT constellation.)",MC11: Tooling and Enablers,"Comment for MC11 (Describes the tools or enablers that are used to achieve the goals of the DT, i.e., they enable the DT to provide the DT services.)",MC12: Digital Twin Constellation,"Comment for MC12 (Describes the orchestration of the DT system, components, and services as a whole.)",MC13: Twinning Process and Digital Twin Evolution,"Comment for MC13 (Describes the engineering process involved in the DT implementation, including the development process, quality assurance, and definition of requirements. It also informs on the milestones of the DT engineering process over time and intended upgrades.)",MC14: Fidelity and Validity Considerations,"Comment for MC14 (Describes the fidelity and validity considerations behind the models that constitute the DT, including verification and validation mechanisms, uncertainty, and errors.)",MC15: Digital Twin Technical Connection,"Comment for MC15 (Describes the technical network connection details between PT and DT, including the network protocols and architectures.)",MC16: Digital Twin Hosting/Deployment,Comment for MC16 (Describes the technical hosting aspects of the DT and the associated technology.),MC17: Insights and Decision Making,"Comment for MC17 (Defines the insights and decision making, i.e., indirect outputs of the DT, which have no direct effect on the PT, such as update of parameters, plans, and so on.)",MC18: Horizontal Integration,Comment for MC18 (Describes the information exchange with external information systems not limited to other DTs.),MC19: Data Ownership and Privacy,Comment for MC19 (Refers to the ethical and technical aspects regarding data ownership and data privacy. Is the data owned by the PT owner or by the DT service provider?),MC20: Standardization,Comment for MC20 (Refers to the standards being followed for the engineering of the DT and its components.),MC21: Security and Safety Considerations,Comment for MC21 (Refers to the ethical and technical aspects regarding data cybersecurity and safety on operation. Can a DT execute operations remotely on a PT where there may be accidents with humans?)
17/12/2025 16:40:55,Bentley,The Incubator Case Study for Digital Twin Engineering,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Present,,Absent,,Absent,,Present,,Present,,Present,,Present,,Absent,,Absent,,Absent,,Absent,
17/12/2025 16:45:01,Bentley,Engineering Automotive Digital Twins on Standardized Architectures: A Case Study,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Present,,Present,,Present,,Absent,,Absent,,Present,,Present,
17/12/2025 16:51:47,Bentley,A Digital Shadow for Accurate Robot Motion Control: Integrating Data with Friction Models,Present,,Absent,,Present,,Present,,Absent,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Absent,,Absent,,Present,,Absent,
17/12/2025 16:56:28,Bentley,Lab-Scale Gantry Crane Digital Twin Exemplar,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Absent,,Absent,,Absent,,Absent,
17/12/2025 17:02:56,Bentley,Model-driven Digital Twins for AECO,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Absent,,Present,,Absent,
17/12/2025 18:23:54,Kérian,The Incubator Case Study for Digital Twin Engineering,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Present,,Absent,,Absent,,Present,,Present,,Present,,Present,,Absent,,Absent,,Absent,,Absent,
17/12/2025 18:46:47,Angelica,Engineering Automotive Digital Twins on Standardized Architectures: A Case Study,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Absent,,Present,,Absent,,Absent,,Present,,Absent,
17/12/2025 21:29:49,Angelica,A Digital Shadow for Accurate Robot Motion Control: Integrating Data with Friction Models,Present,,Absent,"Note: For this case, I will interpret DT as DS when applicable (excluding cases where it's implied that there's a data transmission or action from the DT back to the PT)",Present,,Present,,Absent,,Present,,Present,,Absent,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Present,,Present,,Present,,Absent,,Present,,Absent,
18/12/2025 22:40:33,Angelica,The Incubator Case Study for Digital Twin Engineering,Present,,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Present,,Absent,,Present,,Absent,,Present,"Twinning Process is Absent, but Digital Twin Evolution, milestones and intended upgrades are present in detail.",Present,,Present,,Absent,,Present,,Absent,,Absent,,Absent,,Absent,
22/12/2025 18:55:48,Angelica,Lab-Scale Gantry Crane Digital Twin Exemplar,Present,,Present,,Present,,Present,,Present,,Present,,Absent,,Absent,,Present,,Present,,Present,,Present,,Absent,,Present,,Present,,Present,,Present,,Absent,,Absent,,Present,,Absent,
