model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:120b-cloud,895e66b3efdd_20260130213659,1,31.852661848068237,4145,1150,0,,,,0,False
gpt-oss:120b-cloud,895e66b3efdd_20260130213659,2,41.248438596725464,4138,1051,0,,,,0,False
gpt-oss:120b-cloud,895e66b3efdd_20260130213659,3,55.671276569366455,3953,1570,0,,,,0,False
gpt-oss:120b-cloud,895e66b3efdd_20260130213659,4,61.19790506362915,4321,1336,0,,,,0,False
gpt-oss:120b-cloud,895e66b3efdd_20260130213659,5,40.14842224121094,3867,1516,0,,,,0,False
gpt-oss:120b-cloud,895e66b3efdd_20260130213659,6,25.82057785987854,3114,326,0,,,,0,False
gpt-oss:120b-cloud,f6d424bfddae_20260130213703,1,34.416335105895996,4145,869,0,,,,0,False
gpt-oss:120b-cloud,f6d424bfddae_20260130213703,2,51.25595283508301,4138,1629,0,,,,0,False
gpt-oss:120b-cloud,f6d424bfddae_20260130213703,3,68.51006650924683,3954,1946,0,,,,0,False
gpt-oss:120b-cloud,f6d424bfddae_20260130213703,4,44.06697130203247,4321,1413,0,,,,0,False
gpt-oss:120b-cloud,f6d424bfddae_20260130213703,5,37.97732639312744,3867,1575,0,,,,0,False
gpt-oss:120b-cloud,f6d424bfddae_20260130213703,6,28.678285360336304,3114,411,0,,,,0,False
gpt-oss:120b-cloud,7d22ab0083cd_20260130213712,1,34.06006407737732,4145,1091,0,,,,0,False
gpt-oss:120b-cloud,7d22ab0083cd_20260130213712,2,51.569493532180786,4138,1154,0,,,,0,False
gpt-oss:120b-cloud,7d22ab0083cd_20260130213712,3,72.95632433891296,3954,1775,0,,,,0,False
gpt-oss:120b-cloud,7d22ab0083cd_20260130213712,4,43.710302114486694,4321,1715,0,,,,0,False
gpt-oss:120b-cloud,7d22ab0083cd_20260130213712,5,26.692583322525024,3867,1283,0,,,,0,False
gpt-oss:120b-cloud,7d22ab0083cd_20260130213712,6,31.872249364852905,3114,447,0,,,,0,False
gpt-oss:120b-cloud,33494bd9f22b_20260130213707,1,41.009498596191406,4145,1274,0,,,,0,False
gpt-oss:120b-cloud,33494bd9f22b_20260130213707,2,57.62229633331299,4138,1083,0,,,,0,False
gpt-oss:120b-cloud,33494bd9f22b_20260130213707,3,76.3913049697876,3954,2110,0,,,,0,False
gpt-oss:120b-cloud,33494bd9f22b_20260130213707,4,33.65523409843445,4321,1199,0,,,,0,False
gpt-oss:120b-cloud,33494bd9f22b_20260130213707,5,35.34076976776123,3867,2048,0,,,,0,False
gpt-oss:120b-cloud,33494bd9f22b_20260130213707,6,23.79029893875122,3114,301,0,,,,0,False
gpt-oss:120b-cloud,59c3033070bb_20260130214205,1,50.978307008743286,2421,1013,0,,,,0,False
gpt-oss:120b-cloud,59c3033070bb_20260130214205,2,30.905437707901,2461,953,0,,,,0,False
gpt-oss:120b-cloud,59c3033070bb_20260130214205,3,41.28208136558533,2541,1681,0,,,,0,False
