model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,6df5ebb88793_20260131033320,1,51.182915687561035,6912,4160,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,c2553b4d46ff_20260131033706,1,36.271870136260986,6912,4979,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,dd2816d55d72_20260131033718,1,58.48665380477905,6912,4722,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,fd1dd2f40162_20260131034044,1,61.587191343307495,6912,5840,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,b4fc1a27bbd5_20260131034050,1,63.30229449272156,6912,5350,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,e6fe36ecc5eb_20260131034130,1,65.64014053344727,6912,4284,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,cc9a6bd09a96_20260131034324,1,65.79260158538818,6912,6029,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,88ceda20b2f3_20260131034335,1,72.78968262672424,6912,5521,0,,0.8095238095238095,0,True
qwen3-next:80b-cloud,de1cfc67053a_20260131034437,1,70.94004583358765,6912,5415,0,,0.8571428571428571,0,True
qwen3-next:80b-cloud,eed9d6ec87eb_20260131034610,1,56.60486888885498,6912,5637,0,,0.8571428571428571,0,True
qwen3-next:80b-cloud,45780728c94d_20260131034642,1,93.00907444953918,6912,5387,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,861b31929c18_20260131034811,1,76.46731352806091,6912,7320,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,c0594b0e1600_20260131034904,1,86.32495927810669,6912,5568,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,6338c0d95f57_20260131034858,1,94.52875089645386,6912,6428,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,fc8ec8587844_20260131035011,1,79.72958564758301,6912,5187,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,97df20ac1066_20260131035141,1,72.63704919815063,6912,4809,0,,0.8571428571428571,0,True
qwen3-next:80b-cloud,6a08bddbb259_20260131035233,1,68.04888772964478,6912,5524,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,41e237679b5f_20260131035249,1,74.46410584449768,6912,5898,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,2051751a8bdb_20260131035326,1,78.84021496772766,6912,7547,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,2e355290bcfa_20260131035443,1,88.70565581321716,6912,5258,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,72595d1bd4d4_20260131035540,1,60.508681774139404,6912,5263,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,1d9bbee28631_20260131035721,1,74.47295904159546,6912,4071,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,2d286060f9be_20260131035852,1,67.2155933380127,6912,6555,0,,0.9523809523809523,0,True
qwen3-next:80b-cloud,1eb61aeda889_20260131040130,1,67.99572038650513,6912,5877,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,86a6142865f9_20260131040314,1,111.0682098865509,6912,7075,0,,0.9047619047619048,0,True
qwen3-next:80b-cloud,a4948e0f67bc_20260131040435,1,316.66276454925537,1381,5468,1,5.0,0.9047619047619048,2,False
qwen3-next:80b-cloud,a4948e0f67bc_20260131040435,2,100.66186499595642,1242,5504,0,4.75,0.9047619047619048,2,False
qwen3-next:80b-cloud,a4948e0f67bc_20260131040435,3,547.3644940853119,1749,2998,1,5.0,0.9047619047619048,2,False
qwen3-next:80b-cloud,a4948e0f67bc_20260131040435,4,564.9456419944763,1627,7935,2,4.5,0.9047619047619048,2,False
qwen3-next:80b-cloud,a4948e0f67bc_20260131040435,5,334.15863013267517,1654,2463,1,4.75,0.9047619047619048,2,False
qwen3-next:80b-cloud,a4948e0f67bc_20260131040435,6,89.28050422668457,1293,836,0,5.0,0.9047619047619048,2,False
qwen3-next:80b-cloud,e95fcdfc484a_20260131040418,1,418.99779987335205,1400,6135,1,4.666666666666667,0.8095238095238095,2,False
qwen3-next:80b-cloud,e95fcdfc484a_20260131040418,2,614.0854732990265,1514,3493,2,4.75,0.8095238095238095,2,False
qwen3-next:80b-cloud,e95fcdfc484a_20260131040418,3,479.29165959358215,1779,2677,1,5.0,0.8095238095238095,2,False
qwen3-next:80b-cloud,e95fcdfc484a_20260131040418,4,542.3946886062622,1626,5829,2,3.75,0.8095238095238095,2,False
qwen3-next:80b-cloud,e95fcdfc484a_20260131040418,5,358.99844121932983,1745,4371,1,4.75,0.8095238095238095,2,False
qwen3-next:80b-cloud,e95fcdfc484a_20260131040418,6,156.79558157920837,1293,1363,0,5.0,0.8095238095238095,2,False
qwen3-next:80b-cloud,b598bc25af8f_20260131041226,1,540.186849117279,1253,4311,2,3.6666666666666665,0.6190476190476191,2,False
qwen3-next:80b-cloud,b598bc25af8f_20260131041226,2,526.203720331192,1360,5093,2,3.0,0.6190476190476191,2,False
qwen3-next:80b-cloud,b598bc25af8f_20260131041226,3,327.1676788330078,1734,3328,1,4.75,0.6190476190476191,2,False
qwen3-next:80b-cloud,b598bc25af8f_20260131041226,4,485.9547073841095,1650,4112,2,1.0,0.6190476190476191,2,False
qwen3-next:80b-cloud,b598bc25af8f_20260131041226,5,180.79438376426697,1289,5419,0,4.75,0.6190476190476191,2,False
qwen3-next:80b-cloud,b598bc25af8f_20260131041226,6,141.82706832885742,1293,949,0,5.0,0.6190476190476191,2,False
qwen3-next:80b-cloud,4ada203f9962_20260131040813,1,493.0688931941986,1328,3534,2,3.6666666666666665,0.7142857142857143,2,False
qwen3-next:80b-cloud,4ada203f9962_20260131040813,2,388.62377166748047,1537,2853,1,4.75,0.7142857142857143,2,False
qwen3-next:80b-cloud,4ada203f9962_20260131040813,3,703.5938065052032,1686,5225,2,4.0,0.7142857142857143,2,False
qwen3-next:80b-cloud,4ada203f9962_20260131040813,4,548.5427417755127,1696,2602,2,4.5,0.7142857142857143,2,False
qwen3-next:80b-cloud,4ada203f9962_20260131040813,5,358.2540056705475,1629,3313,1,4.75,0.7142857142857143,2,False
qwen3-next:80b-cloud,4ada203f9962_20260131040813,6,130.9104700088501,1293,805,0,5.0,0.7142857142857143,2,False
