Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,88.0,92.0,\makecell{88.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Cluster,88.0,92.0,\makecell{88.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Judge,100.0,100.0,\makecell{100.0 $~/~$ 100.0}
gpt-oss:120b-cloud,+Cluster+Judge,88.0,96.0,\makecell{88.0 $~/~$ 96.0}
qwen3-next:80b-cloud,Base,52.0,80.0,\makecell{52.0 $~/~$ 80.0}
qwen3-next:80b-cloud,+Cluster,68.0,92.0,\makecell{68.0 $~/~$ 92.0}
qwen3-next:80b-cloud,+Judge,44.0,84.0,\makecell{44.0 $~/~$ 84.0}
qwen3-next:80b-cloud,+Cluster+Judge,68.0,76.0,\makecell{68.0 $~/~$ 76.0}
gpt-oss:20b-cloud,Base,68.0,100.0,\makecell{68.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Cluster,80.0,100.0,\makecell{80.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Judge,68.0,100.0,\makecell{68.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Cluster+Judge,92.0,100.0,\makecell{92.0 $~/~$ 100.0}
ministral-3:14b-cloud,Base,20.0,84.0,\makecell{20.0 $~/~$ 84.0}
ministral-3:14b-cloud,+Cluster,36.0,92.0,\makecell{36.0 $~/~$ 92.0}
ministral-3:14b-cloud,+Judge,12.0,96.0,\makecell{12.0 $~/~$ 96.0}
ministral-3:14b-cloud,+Cluster+Judge,36.0,100.0,\makecell{36.0 $~/~$ 100.0}
ministral-3:3b-cloud,Base,0.0,12.0,\makecell{0.0 $~/~$ 12.0}
ministral-3:3b-cloud,+Cluster,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
ministral-3:3b-cloud,+Judge,0.0,36.0,\makecell{0.0 $~/~$ 36.0}
ministral-3:3b-cloud,+Cluster+Judge,0.0,32.0,\makecell{0.0 $~/~$ 32.0}
ministral-3:8b-cloud,Base,0.0,72.0,\makecell{0.0 $~/~$ 72.0}
ministral-3:8b-cloud,+Cluster,4.0,76.0,\makecell{4.0 $~/~$ 76.0}
ministral-3:8b-cloud,+Judge,0.0,92.0,\makecell{0.0 $~/~$ 92.0}
ministral-3:8b-cloud,+Cluster+Judge,12.0,92.0,\makecell{12.0 $~/~$ 92.0}
