model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,extraction_rate,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:120b-cloud,446528503b29_20260202012220,1,25.314949989318848,5051,1116,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,446528503b29_20260202012220,2,21.507264375686646,5182,1280,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,446528503b29_20260202012220,3,21.616909503936768,4775,1801,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,446528503b29_20260202012220,4,24.75815773010254,5310,1450,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,446528503b29_20260202012220,5,15.910614967346191,4514,1019,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,446528503b29_20260202012220,6,17.894675970077515,4310,842,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,a77d70e3f291_20260202012227,1,17.758530855178833,5051,1180,0,,,76.19047619047619,0.7619047619047619,0,False
gpt-oss:120b-cloud,a77d70e3f291_20260202012227,2,19.09980297088623,5182,1455,0,,,76.19047619047619,0.7619047619047619,0,False
gpt-oss:120b-cloud,a77d70e3f291_20260202012227,3,25.51292634010315,4775,2108,0,,,76.19047619047619,0.7619047619047619,0,False
gpt-oss:120b-cloud,a77d70e3f291_20260202012227,4,28.923512935638428,5310,2327,0,,,76.19047619047619,0.7619047619047619,0,False
gpt-oss:120b-cloud,a77d70e3f291_20260202012227,5,18.00462770462036,4514,1222,0,,,76.19047619047619,0.7619047619047619,0,False
gpt-oss:120b-cloud,a77d70e3f291_20260202012227,6,14.779520034790039,4310,1106,0,,,76.19047619047619,0.7619047619047619,0,False
gpt-oss:120b-cloud,7f37a9d590a6_20260202012230,1,18.085904359817505,5051,1790,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,7f37a9d590a6_20260202012230,2,19.660459280014038,5182,1349,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,7f37a9d590a6_20260202012230,3,25.531822681427002,4775,2000,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,7f37a9d590a6_20260202012230,4,25.58897829055786,5310,1761,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,7f37a9d590a6_20260202012230,5,21.87650442123413,4514,1382,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,7f37a9d590a6_20260202012230,6,16.34988307952881,4310,864,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6a7491be420b_20260202012222,1,31.717033624649048,5051,1138,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6a7491be420b_20260202012222,2,21.25139546394348,5182,1523,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6a7491be420b_20260202012222,3,25.960172653198242,4775,1626,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6a7491be420b_20260202012222,4,21.043516159057617,5310,1058,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6a7491be420b_20260202012222,5,20.816378116607666,4514,1180,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6a7491be420b_20260202012222,6,16.44262409210205,4310,654,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,6f3f74f5e76f_20260202012225,1,33.35200095176697,5051,1371,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,6f3f74f5e76f_20260202012225,2,20.059977054595947,5182,1372,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,6f3f74f5e76f_20260202012225,3,26.569956064224243,4775,1509,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,6f3f74f5e76f_20260202012225,4,27.372827291488647,5310,2119,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,6f3f74f5e76f_20260202012225,5,18.05007290840149,4514,1456,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,6f3f74f5e76f_20260202012225,6,9.545146465301514,4310,349,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,5a4391b00d5e_20260202012233,1,17.008728981018066,5051,1831,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,5a4391b00d5e_20260202012233,2,18.524075746536255,5182,1417,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,5a4391b00d5e_20260202012233,3,30.777231454849243,4775,3069,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,5a4391b00d5e_20260202012233,4,27.99554181098938,5310,2370,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,5a4391b00d5e_20260202012233,5,17.13971209526062,4514,978,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,5a4391b00d5e_20260202012233,6,18.031413555145264,4310,1355,0,,,80.95238095238095,0.8095238095238095,0,False
gpt-oss:120b-cloud,532816b24eb8_20260202012217,1,40.431182622909546,5051,1709,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,532816b24eb8_20260202012217,2,17.9610812664032,5182,1362,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,532816b24eb8_20260202012217,3,28.30783462524414,4775,1809,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,532816b24eb8_20260202012217,4,30.708223819732666,5310,2209,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,532816b24eb8_20260202012217,5,18.46435022354126,4514,1519,0,,,85.71428571428571,0.8571428571428571,0,False
gpt-oss:120b-cloud,532816b24eb8_20260202012217,6,10.97286868095398,4310,631,0,,,85.71428571428571,0.8571428571428571,0,False
