model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:20b-cloud,8998f6fb63b8_20260202071317,1,127.80685210227966,1407,905,0,,,0.42857142857142855,0,False
gpt-oss:20b-cloud,8998f6fb63b8_20260202071317,2,151.442613363266,1349,1431,0,,,0.42857142857142855,0,False
gpt-oss:20b-cloud,8998f6fb63b8_20260202071317,3,107.3499755859375,1314,549,0,,,0.42857142857142855,0,False
gpt-oss:20b-cloud,8998f6fb63b8_20260202071317,4,103.40005373954773,1589,1740,0,,,0.42857142857142855,0,False
gpt-oss:20b-cloud,8998f6fb63b8_20260202071317,5,88.01273107528687,1285,1205,0,,,0.42857142857142855,0,False
gpt-oss:20b-cloud,8998f6fb63b8_20260202071317,6,60.129881143569946,1018,144,0,,,0.42857142857142855,0,False
gpt-oss:20b-cloud,682f79dd0e71_20260202072034,1,103.246413230896,1407,1323,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,682f79dd0e71_20260202072034,2,70.29959654808044,1349,997,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,682f79dd0e71_20260202072034,3,43.31664967536926,1314,271,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,682f79dd0e71_20260202072034,4,76.37446331977844,1589,1860,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,682f79dd0e71_20260202072034,5,31.70261263847351,1285,825,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,682f79dd0e71_20260202072034,6,29.975414991378784,1018,1330,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,6c81bef85a2d_20260202072323,1,44.343281507492065,1407,1176,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,6c81bef85a2d_20260202072323,2,59.89387226104736,1349,1401,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,6c81bef85a2d_20260202072323,3,43.03929829597473,1314,493,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,6c81bef85a2d_20260202072323,4,37.28164196014404,1589,2544,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,6c81bef85a2d_20260202072323,5,42.478588819503784,1285,563,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,6c81bef85a2d_20260202072323,6,45.830482721328735,1018,726,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,f36de520107a_20260202072338,1,45.92809557914734,1407,1227,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,f36de520107a_20260202072338,2,80.21708750724792,1349,1784,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,f36de520107a_20260202072338,3,17.718075275421143,1314,285,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,f36de520107a_20260202072338,4,56.713040828704834,1589,1724,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,f36de520107a_20260202072338,5,20.53505253791809,1285,515,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,f36de520107a_20260202072338,6,61.01438570022583,1018,1314,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,327ad9f51dad_20260202072526,1,33.356125354766846,1407,1070,0,,,0.6190476190476191,0,False
gpt-oss:20b-cloud,327ad9f51dad_20260202072526,2,42.676536560058594,1349,1479,0,,,0.6190476190476191,0,False
gpt-oss:20b-cloud,327ad9f51dad_20260202072526,3,32.19406175613403,1314,380,0,,,0.6190476190476191,0,False
gpt-oss:20b-cloud,327ad9f51dad_20260202072526,4,72.93110966682434,1589,2629,0,,,0.6190476190476191,0,False
gpt-oss:20b-cloud,327ad9f51dad_20260202072526,5,46.9873468875885,1285,1121,0,,,0.6190476190476191,0,False
gpt-oss:20b-cloud,327ad9f51dad_20260202072526,6,38.404813289642334,1018,1115,0,,,0.6190476190476191,0,False
gpt-oss:20b-cloud,5b80f9d4d9f0_20260202072712,1,55.87199282646179,1407,1167,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,5b80f9d4d9f0_20260202072712,2,34.93563365936279,1349,1391,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,5b80f9d4d9f0_20260202072712,3,38.60980939865112,1314,657,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,5b80f9d4d9f0_20260202072712,4,47.35856485366821,1589,2251,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,5b80f9d4d9f0_20260202072712,5,33.306434869766235,1285,745,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,5b80f9d4d9f0_20260202072712,6,35.229663372039795,1018,1646,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8ef8b1efa1b9_20260202072835,1,49.36919045448303,1407,1894,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,8ef8b1efa1b9_20260202072835,2,40.404699087142944,1349,1118,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,8ef8b1efa1b9_20260202072835,3,28.561219215393066,1314,418,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,8ef8b1efa1b9_20260202072835,4,24.95724320411682,1589,1570,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,8ef8b1efa1b9_20260202072835,5,29.769914627075195,1285,577,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,8ef8b1efa1b9_20260202072835,6,26.823082447052002,1018,879,0,,,0.5714285714285714,0,False
gpt-oss:20b-cloud,385732eaa9e3_20260202072909,1,32.415194511413574,1407,1026,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,385732eaa9e3_20260202072909,2,44.793619871139526,1349,1697,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,385732eaa9e3_20260202072909,3,17.378061294555664,1314,410,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,385732eaa9e3_20260202072909,4,52.27510190010071,1589,1874,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,385732eaa9e3_20260202072909,5,25.571171522140503,1285,678,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,385732eaa9e3_20260202072909,6,24.537352800369263,1018,362,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,1,80.647043466568,1076,909,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,2,47.53218913078308,1349,1271,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,3,20.72942328453064,1314,323,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,4,37.744988203048706,1589,1853,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,5,23.91712999343872,1285,460,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,9db02dfb2ccb_20260202072810,6,48.12349271774292,1018,2801,0,,,0.5238095238095238,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,1,40.6730055809021,1407,916,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,2,15.844207286834717,1349,669,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,3,30.759875297546387,1314,432,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,4,44.55640196800232,1589,2500,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,5,25.95679998397827,1285,599,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,8c79b115659c_20260202072954,6,31.049830675125122,1018,404,0,,,0.47619047619047616,0,False
gpt-oss:20b-cloud,c8aa2bdd0abf_20260202073036,1,24.228840827941895,1407,933,0,,,0.5238095238095238,0,False
