model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,53316500a045_20260202033601,1,185.0910873413086,1353,3329,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,53316500a045_20260202033601,2,106.38216519355774,1311,3568,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,53316500a045_20260202033601,3,103.36974573135376,1270,1426,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,53316500a045_20260202033601,4,66.63465213775635,1527,4211,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,53316500a045_20260202033601,5,34.280839920043945,1244,2523,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,53316500a045_20260202033601,6,44.20670223236084,1022,1770,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,86eaddacd42e_20260202034036,1,57.82908916473389,1353,2505,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,86eaddacd42e_20260202034036,2,104.15680408477783,1311,3342,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,86eaddacd42e_20260202034036,3,28.62288498878479,1270,756,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,86eaddacd42e_20260202034036,4,42.858338356018066,1527,3346,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,86eaddacd42e_20260202034036,5,42.92425322532654,1244,2078,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,86eaddacd42e_20260202034036,6,106.1408097743988,1022,1581,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,9fbfe5351c19_20260202034128,1,92.96321988105774,1353,4431,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,9fbfe5351c19_20260202034128,2,35.636801958084106,1311,2251,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,9fbfe5351c19_20260202034128,3,34.661328077316284,1270,1425,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,9fbfe5351c19_20260202034128,4,55.89855885505676,1527,4106,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,9fbfe5351c19_20260202034128,5,111.60058760643005,1244,2183,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,9fbfe5351c19_20260202034128,6,39.228888750076294,1022,2549,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,64ac920df8ec_20260202034224,1,61.35739707946777,1353,2922,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,64ac920df8ec_20260202034224,2,38.747862815856934,1311,2109,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,64ac920df8ec_20260202034224,3,41.25429582595825,1270,1475,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,64ac920df8ec_20260202034224,4,56.92149090766907,1527,5476,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,64ac920df8ec_20260202034224,5,87.47671866416931,1244,1960,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,64ac920df8ec_20260202034224,6,37.795931816101074,1022,1713,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,bc0fb57be4e4_20260202034318,1,33.41795015335083,1353,2794,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,bc0fb57be4e4_20260202034318,2,44.99669408798218,1311,3475,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,bc0fb57be4e4_20260202034318,3,38.26695942878723,1270,1289,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,bc0fb57be4e4_20260202034318,4,127.76726245880127,1527,4593,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,bc0fb57be4e4_20260202034318,5,45.88437342643738,1244,3910,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,bc0fb57be4e4_20260202034318,6,61.94026207923889,1022,5941,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,f4d6a957e038_20260202034655,1,29.78117275238037,1353,2302,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,f4d6a957e038_20260202034655,2,58.347349882125854,1311,3767,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,f4d6a957e038_20260202034655,3,54.06727409362793,1270,1276,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,f4d6a957e038_20260202034655,4,51.149667739868164,1527,4962,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,f4d6a957e038_20260202034655,5,32.56552052497864,1244,2978,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,f4d6a957e038_20260202034655,6,35.99573516845703,1022,3428,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,ca4ebc9d9023_20260202034748,1,51.129098415374756,1353,2804,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,ca4ebc9d9023_20260202034748,2,64.62547326087952,1311,3761,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,ca4ebc9d9023_20260202034748,3,35.01249599456787,1270,1880,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,ca4ebc9d9023_20260202034748,4,45.005183935165405,1527,4580,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,ca4ebc9d9023_20260202034748,5,40.26733326911926,1244,5010,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,ca4ebc9d9023_20260202034748,6,41.18145442008972,1022,1887,0,,,0.5714285714285714,0,False
qwen3-next:80b-cloud,3feb30560412_20260202034811,1,76.66310906410217,1353,3269,0,,,0.47619047619047616,0,False
qwen3-next:80b-cloud,3feb30560412_20260202034811,2,47.77925157546997,1311,3977,0,,,0.47619047619047616,0,False
qwen3-next:80b-cloud,3feb30560412_20260202034811,3,22.82636022567749,1270,1240,0,,,0.47619047619047616,0,False
qwen3-next:80b-cloud,3feb30560412_20260202034811,4,36.90549969673157,1527,3332,0,,,0.47619047619047616,0,False
qwen3-next:80b-cloud,3feb30560412_20260202034811,5,35.70166873931885,1244,2372,0,,,0.47619047619047616,0,False
qwen3-next:80b-cloud,3feb30560412_20260202034811,6,48.79834461212158,1022,3538,0,,,0.47619047619047616,0,False
qwen3-next:80b-cloud,6a6880ce1e89_20260202034917,1,29.26030707359314,1353,2383,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,6a6880ce1e89_20260202034917,2,45.02782678604126,1311,3079,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,6a6880ce1e89_20260202034917,3,25.49869465827942,1270,1290,0,,,0.5238095238095238,0,False
qwen3-next:80b-cloud,6a6880ce1e89_20260202034917,4,37.67315340042114,1527,3423,0,,,0.5238095238095238,0,False
