Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,76.0,88.0,\makecell{76.0 $~/~$ 88.0}
gpt-oss:120b-cloud,+Cluster,80.0,92.0,\makecell{80.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Judge,84.0,96.0,\makecell{84.0 $~/~$ 96.0}
gpt-oss:120b-cloud,+Cluster+Judge,84.0,96.0,\makecell{84.0 $~/~$ 96.0}
qwen3-next:80b-cloud,Base,20.0,72.0,\makecell{20.0 $~/~$ 72.0}
qwen3-next:80b-cloud,+Cluster,72.0,88.0,\makecell{72.0 $~/~$ 88.0}
qwen3-next:80b-cloud,+Judge,48.0,84.0,\makecell{48.0 $~/~$ 84.0}
qwen3-next:80b-cloud,+Cluster+Judge,52.0,80.0,\makecell{52.0 $~/~$ 80.0}
gpt-oss:20b-cloud,Base,72.0,100.0,\makecell{72.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Cluster,84.0,100.0,\makecell{84.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Judge,68.0,100.0,\makecell{68.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Cluster+Judge,84.0,96.0,\makecell{84.0 $~/~$ 96.0}
ministral-3:14b-cloud,Base,16.0,72.0,\makecell{16.0 $~/~$ 72.0}
ministral-3:14b-cloud,+Cluster,24.0,80.0,\makecell{24.0 $~/~$ 80.0}
ministral-3:14b-cloud,+Judge,28.000000000000004,80.0,\makecell{28.0 $~/~$ 80.0}
ministral-3:14b-cloud,+Cluster+Judge,56.00000000000001,96.0,\makecell{56.0 $~/~$ 96.0}
ministral-3:3b-cloud,Base,0.0,16.0,\makecell{0.0 $~/~$ 16.0}
ministral-3:3b-cloud,+Cluster,0.0,28.000000000000004,\makecell{0.0 $~/~$ 28.0}
ministral-3:3b-cloud,+Judge,0.0,24.0,\makecell{0.0 $~/~$ 24.0}
ministral-3:3b-cloud,+Cluster+Judge,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
ministral-3:8b-cloud,Base,8.0,44.0,\makecell{8.0 $~/~$ 44.0}
ministral-3:8b-cloud,+Cluster,16.0,60.0,\makecell{16.0 $~/~$ 60.0}
ministral-3:8b-cloud,+Judge,4.0,28.000000000000004,\makecell{4.0 $~/~$ 28.0}
ministral-3:8b-cloud,+Cluster+Judge,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
