model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:20b-cloud,92c4a1a06a9f_20260201115911,1,61.43396711349487,1450,793,0,,,,0,False
gpt-oss:20b-cloud,92c4a1a06a9f_20260201115911,2,31.09740924835205,2125,379,0,,,,0,False
gpt-oss:20b-cloud,92c4a1a06a9f_20260201115911,3,56.461477518081665,2165,1617,0,,,,0,False
gpt-oss:20b-cloud,92c4a1a06a9f_20260201115911,4,48.50531578063965,1526,1392,0,,,,0,False
gpt-oss:20b-cloud,92c4a1a06a9f_20260201115911,5,47.55174779891968,2136,1616,0,,,,0,False
gpt-oss:20b-cloud,92c4a1a06a9f_20260201115911,6,20.525646686553955,2010,247,0,,,,0,False
gpt-oss:20b-cloud,64229c93d5fb_20260201120013,1,28.880105018615723,1450,719,0,,,,0,False
gpt-oss:20b-cloud,64229c93d5fb_20260201120013,2,34.48528599739075,2754,1949,0,,,,0,False
gpt-oss:20b-cloud,64229c93d5fb_20260201120013,3,31.032268047332764,3422,598,0,,,,0,False
gpt-oss:20b-cloud,64229c93d5fb_20260201120013,4,61.32812285423279,1526,1421,0,,,,0,False
gpt-oss:20b-cloud,64229c93d5fb_20260201120013,5,34.067744731903076,2765,1869,0,,,,0,False
gpt-oss:20b-cloud,64229c93d5fb_20260201120013,6,21.215126037597656,2010,327,0,,,,0,False
gpt-oss:20b-cloud,8c478fd02d74_20260201120015,1,31.84199094772339,1450,571,0,,,,0,False
gpt-oss:20b-cloud,8c478fd02d74_20260201120015,2,52.57436466217041,2125,1820,0,,,,0,False
gpt-oss:20b-cloud,8c478fd02d74_20260201120015,3,37.107223987579346,2794,1007,0,,,,0,False
gpt-oss:20b-cloud,8c478fd02d74_20260201120015,4,48.39395809173584,1526,1615,0,,,,0,False
gpt-oss:20b-cloud,8c478fd02d74_20260201120015,5,30.268073320388794,2765,1219,0,,,,0,False
gpt-oss:20b-cloud,8c478fd02d74_20260201120015,6,19.039061069488525,2010,392,0,,,,0,False
gpt-oss:20b-cloud,5ebd549c69c4_20260201120023,1,34.67203116416931,1450,1706,0,,,,0,False
gpt-oss:20b-cloud,5ebd549c69c4_20260201120023,2,48.29900360107422,2754,574,0,,,,0,False
gpt-oss:20b-cloud,5ebd549c69c4_20260201120023,3,50.10857129096985,2794,705,0,,,,0,False
gpt-oss:20b-cloud,5ebd549c69c4_20260201120023,4,47.40800476074219,1526,1793,0,,,,0,False
gpt-oss:20b-cloud,5ebd549c69c4_20260201120023,5,26.98778796195984,2765,1040,0,,,,0,False
gpt-oss:20b-cloud,5ebd549c69c4_20260201120023,6,10.931706666946411,2010,268,0,,,,0,False
gpt-oss:20b-cloud,72e216c58c47_20260201120213,1,48.74021649360657,1450,1357,0,,,,0,False
gpt-oss:20b-cloud,72e216c58c47_20260201120213,2,32.0002498626709,3382,1413,0,,,,0,False
gpt-oss:20b-cloud,72e216c58c47_20260201120213,3,21.409730195999146,2794,1066,0,,,,0,False
gpt-oss:20b-cloud,72e216c58c47_20260201120213,4,37.69108986854553,1526,1537,0,,,,0,False
gpt-oss:20b-cloud,72e216c58c47_20260201120213,5,58.119548320770264,2765,1601,0,,,,0,False
gpt-oss:20b-cloud,72e216c58c47_20260201120213,6,18.41090965270996,1381,422,0,,,,0,False
gpt-oss:20b-cloud,66ef99d6c8ba_20260201120313,1,24.50683283805847,1450,1531,0,,,,0,False
gpt-oss:20b-cloud,66ef99d6c8ba_20260201120313,2,30.86338520050049,2754,1572,0,,,,0,False
gpt-oss:20b-cloud,66ef99d6c8ba_20260201120313,3,67.77482295036316,2794,1438,0,,,,0,False
gpt-oss:20b-cloud,66ef99d6c8ba_20260201120313,4,27.728481769561768,1526,1028,0,,,,0,False
