model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
qwen3-next:80b-cloud,0c93cc6d6e86_20260201084236,1,70.39831447601318,1398,2180,0,,,,0,False
qwen3-next:80b-cloud,0c93cc6d6e86_20260201084236,2,61.16383123397827,4018,4132,0,,,,0,False
qwen3-next:80b-cloud,0c93cc6d6e86_20260201084236,3,95.18456768989563,3417,7519,0,,,,0,False
qwen3-next:80b-cloud,0c93cc6d6e86_20260201084236,4,66.7418622970581,1463,6466,0,,,,0,False
qwen3-next:80b-cloud,0c93cc6d6e86_20260201084236,5,53.150949001312256,3391,7555,0,,,,0,False
qwen3-next:80b-cloud,0c93cc6d6e86_20260201084236,6,37.64836382865906,2621,1108,0,,,,0,False
qwen3-next:80b-cloud,ce18bb9b148e_20260201084312,1,55.896586894989014,1398,2308,0,,,,0,False
qwen3-next:80b-cloud,ce18bb9b148e_20260201084312,2,72.11688351631165,4018,4886,0,,,,0,False
qwen3-next:80b-cloud,ce18bb9b148e_20260201084312,3,81.76405787467957,4058,5262,0,,,,0,False
qwen3-next:80b-cloud,ce18bb9b148e_20260201084312,4,55.60973620414734,1463,5115,0,,,,0,False
qwen3-next:80b-cloud,ce18bb9b148e_20260201084312,5,76.80537962913513,3391,3762,0,,,,0,False
qwen3-next:80b-cloud,ce18bb9b148e_20260201084312,6,29.356744527816772,2621,1214,0,,,,0,False
qwen3-next:80b-cloud,0db0043af7bc_20260201084350,1,61.37394857406616,1398,3571,0,,,,0,False
qwen3-next:80b-cloud,0db0043af7bc_20260201084350,2,81.07378673553467,3376,2596,0,,,,0,False
qwen3-next:80b-cloud,0db0043af7bc_20260201084350,3,78.52104139328003,2775,8690,0,,,,0,False
qwen3-next:80b-cloud,0db0043af7bc_20260201084350,4,71.62350082397461,1463,4750,0,,,,0,False
qwen3-next:80b-cloud,0db0043af7bc_20260201084350,5,54.83049273490906,2749,4478,0,,,,0,False
qwen3-next:80b-cloud,0db0043af7bc_20260201084350,6,65.41569185256958,2607,1249,0,,,,0,False
qwen3-next:80b-cloud,e048422b1faa_20260201084439,1,66.10384893417358,1398,1808,0,,,,0,False
qwen3-next:80b-cloud,e048422b1faa_20260201084439,2,69.57726955413818,3376,5180,0,,,,0,False
qwen3-next:80b-cloud,e048422b1faa_20260201084439,3,82.6190197467804,3416,7829,0,,,,0,False
qwen3-next:80b-cloud,e048422b1faa_20260201084439,4,50.94252109527588,1463,4610,0,,,,0,False
qwen3-next:80b-cloud,e048422b1faa_20260201084439,5,33.797163248062134,2749,3238,0,,,,0,False
qwen3-next:80b-cloud,e048422b1faa_20260201084439,6,60.692331314086914,1979,927,0,,,,0,False
qwen3-next:80b-cloud,d3287ee94a2c_20260201084605,1,47.84907841682434,1398,2280,0,,,,0,False
qwen3-next:80b-cloud,d3287ee94a2c_20260201084605,2,51.111445903778076,3376,2475,0,,,,0,False
qwen3-next:80b-cloud,d3287ee94a2c_20260201084605,3,89.28959727287292,2775,6403,0,,,,0,False
qwen3-next:80b-cloud,d3287ee94a2c_20260201084605,4,51.8925507068634,1463,5058,0,,,,0,False
qwen3-next:80b-cloud,d3287ee94a2c_20260201084605,5,54.167282819747925,2749,2963,0,,,,0,False
qwen3-next:80b-cloud,d3287ee94a2c_20260201084605,6,31.471351861953735,2621,880,0,,,,0,False
qwen3-next:80b-cloud,2202eba4280a_20260201084931,1,66.34109401702881,1398,3370,0,,,,0,False
qwen3-next:80b-cloud,2202eba4280a_20260201084931,2,42.60464310646057,4017,3716,0,,,,0,False
qwen3-next:80b-cloud,2202eba4280a_20260201084931,3,65.41719317436218,3416,8223,0,,,,0,False
qwen3-next:80b-cloud,2202eba4280a_20260201084931,4,40.060290813446045,1463,5190,0,,,,0,False
qwen3-next:80b-cloud,2202eba4280a_20260201084931,5,70.74708199501038,3390,4135,0,,,,0,False
qwen3-next:80b-cloud,2202eba4280a_20260201084931,6,35.14462685585022,2621,1168,0,,,,0,False
qwen3-next:80b-cloud,67e695f836c5_20260201085043,1,42.89770030975342,1398,3714,0,,,,0,False
qwen3-next:80b-cloud,67e695f836c5_20260201085043,2,71.74492931365967,4018,3895,0,,,,0,False
qwen3-next:80b-cloud,67e695f836c5_20260201085043,3,84.36318445205688,3417,9530,0,,,,0,False
qwen3-next:80b-cloud,67e695f836c5_20260201085043,4,43.22363615036011,1463,4974,0,,,,0,False
qwen3-next:80b-cloud,67e695f836c5_20260201085043,5,55.87052035331726,3391,3937,0,,,,0,False
qwen3-next:80b-cloud,67e695f836c5_20260201085043,6,45.93816900253296,2621,934,0,,,,0,False
qwen3-next:80b-cloud,e5f2f7d1ee53_20260201085119,1,24.068700313568115,1398,1718,0,,,,0,False
qwen3-next:80b-cloud,e5f2f7d1ee53_20260201085119,2,67.2034022808075,4203,4826,0,,,,0,False
qwen3-next:80b-cloud,e5f2f7d1ee53_20260201085119,3,77.65491652488708,3416,6580,0,,,,0,False
qwen3-next:80b-cloud,e5f2f7d1ee53_20260201085119,4,59.22756910324097,1463,4547,0,,,,0,False
qwen3-next:80b-cloud,e5f2f7d1ee53_20260201085119,5,52.5518753528595,3390,3545,0,,,,0,False
qwen3-next:80b-cloud,e5f2f7d1ee53_20260201085119,6,44.43718218803406,2607,3415,0,,,,0,False
qwen3-next:80b-cloud,20c401a62aff_20260201085301,1,53.476622581481934,1398,2833,0,,,,0,False
qwen3-next:80b-cloud,20c401a62aff_20260201085301,2,42.3908429145813,4018,3970,0,,,,0,False
qwen3-next:80b-cloud,20c401a62aff_20260201085301,3,39.73664450645447,4058,4322,0,,,,0,False
qwen3-next:80b-cloud,20c401a62aff_20260201085301,4,66.30931854248047,1463,5444,0,,,,0,False
qwen3-next:80b-cloud,20c401a62aff_20260201085301,5,41.746068477630615,4032,5265,0,,,,0,False
qwen3-next:80b-cloud,20c401a62aff_20260201085301,6,74.8406822681427,3249,3344,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,1,49.42115664482117,1398,2435,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,2,61.74874401092529,2735,5752,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,3,63.67365002632141,3416,5556,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,4,40.52271223068237,1463,4635,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,5,58.05488085746765,2749,4250,0,,,,0,False
qwen3-next:80b-cloud,f0481941946e_20260201085328,6,24.659279346466064,1338,723,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,1,59.47512722015381,1398,2803,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,2,62.47350716590881,3377,5865,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,3,72.49198055267334,3417,8527,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,4,54.91059923171997,1463,4216,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,5,47.4735848903656,3391,3396,0,,,,0,False
qwen3-next:80b-cloud,b21c0656d50c_20260201085239,6,52.27995181083679,2621,1487,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,1,34.341567039489746,1398,2469,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,2,64.19235324859619,3377,3735,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,3,46.442700147628784,3417,7529,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,4,61.15352392196655,1463,4936,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,5,49.393320083618164,3391,4679,0,,,,0,False
qwen3-next:80b-cloud,7e01c7ddc2d4_20260201085643,6,39.7372100353241,2621,1026,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,1,31.844470977783203,1398,2152,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,2,81.15259170532227,3376,8181,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,3,56.89407420158386,3416,7657,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,4,75.12632632255554,1463,5068,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,5,35.18838334083557,2749,3541,0,,,,0,False
qwen3-next:80b-cloud,51eaaf6de1e4_20260201085628,6,35.13711404800415,1980,1312,0,,,,0,False
qwen3-next:80b-cloud,754dfb7f9d42_20260201085557,1,37.98646020889282,1398,2157,0,,,,0,False
