experiment_id,timestamp,input_path,model_name,embedding_model,chunk_size,chunk_overlap,temperature,extraction_rate,extracted_count,total_characteristics,average_description_length,processing_time_seconds,total_input_tokens,total_output_tokens,error_count,warning_count
114833178d7a_20251127222956,2025-11-27T17:29:56.526736,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,deepseek-v3.1:671b-cloud,embeddinggemma,3000,500,1.0,0,0,0,0,0.3650674819946289,0,0,6,0
114833178d7a_20251127223033,2025-11-27T17:32:38.771796,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,deepseek-v3.1:671b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,685.0,125.24085402488708,27204,2562,0,0
917e57a83be6_20251128173510,2025-11-28T12:43:46.741487,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,95.23809523809523,20,21,794.7,516.5232300758362,28266,8034,0,0
51820dab2570_20251128174605,2025-11-28T12:51:13.172685,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,85.71428571428571,18,21,684.5,307.913476228714,28160,10800,0,0
551395088e77_20251128175403,2025-11-28T13:01:54.825367,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,80.95238095238095,17,21,683.0,470.8901970386505,29117,7705,0,0
b326c17f571e_20251128180311,2025-11-28T13:09:36.199119,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,741.2105263157895,384.5236415863037,28218,8607,0,0
b7f3295b6b3e_20251128181143,2025-11-28T13:15:14.594319,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,664.2105263157895,210.67344689369202,27877,9541,0,0
b2c9ebca260b_20251128181635,2025-11-28T13:22:56.751935,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,747.9473684210526,380.80447220802307,23740,7988,1,0
dbc90ac5a57b_20251128182418,2025-11-28T13:30:42.814629,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,736.8421052631579,384.33964824676514,27924,9147,0,0
9abafc964a4b_20251128183159,2025-11-28T13:43:34.912884,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,85.71428571428571,18,21,718.3888888888889,695.0073969364166,28833,11394,0,0
2712c50a1df0_20251128184548,2025-11-28T13:57:22.157329,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,95.23809523809523,20,21,799.8,693.6697399616241,29766,9741,0,0
fe7abb5ab35c_20251128185838,2025-11-28T14:08:36.120604,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,80.95238095238095,17,21,744.6470588235294,597.9080214500427,28777,16877,0,0
a134cd444a06_20251128191104,2025-11-28T14:17:35.577764,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,80.95238095238095,17,21,663.4117647058823,391.4833793640137,23381,7946,1,0
0f7ad0d69da2_20251128191849,2025-11-28T14:26:01.467555,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,95.23809523809523,20,21,804.6,431.56142473220825,28633,11412,0,0
4583043621ef_20251128192720,2025-11-28T14:33:06.454761,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,85.71428571428571,18,21,688.1111111111111,346.15010356903076,28589,8059,0,0
41b845450b0e_20251128193818,2025-11-28T14:47:01.417434,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,76.19047619047619,16,21,873.3125,522.9517424106598,29023,14896,0,0
163136b681df_20251128194931,2025-11-28T14:53:29.828798,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,884.3157894736842,238.4695019721985,27988,9867,0,0
ace6b407b324_20251128195522,2025-11-28T15:01:50.066005,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,878.6842105263158,387.7642078399658,29170,10360,0,0
b5a83eec43ac_20251128200420,2025-11-28T15:09:39.737131,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,767.2105263157895,319.4529047012329,28163,14676,0,0
9cdb0c35d657_20251128201101,2025-11-28T15:18:50.858684,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,90.47619047619048,19,21,838.3684210526316,469.54944682121277,29409,9347,0,0
7ccae79d8ca4_20251128201946,2025-11-28T15:24:24.083182,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,80.95238095238095,17,21,712.7647058823529,277.83061385154724,22747,7621,1,0
ef01a545dbf8_20251128202655,2025-11-28T15:34:54.209474,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,95.23809523809523,20,21,652.15,479.20273089408875,28709,12609,0,0
917e57a83be6_20251129224030,2025-11-29T17:48:02.200491,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,85.71428571428571,18,21,766.6111111111111,451.52638387680054,28592,9504,0,0
51820dab2570_20251129224931,2025-11-29T17:57:27.415377,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,85.71428571428571,18,21,716.8888888888889,476.34486961364746,28378,9385,0,0
551395088e77_20251129225935,2025-11-29T18:04:21.555626,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,80.95238095238095,17,21,801.1764705882352,286.17078161239624,28256,8014,0,0
b326c17f571e_20251129230540,2025-11-29T18:09:37.806898,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,80.95238095238095,17,21,666.0,236.92834758758545,28115,8094,0,0
b7f3295b6b3e_20251129231047,2025-11-29T18:17:57.233445,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,gpt-oss:20b-cloud,embeddinggemma,3000,500,1.0,95.23809523809523,20,21,675.25,429.48459339141846,29459,9122,0,0
