model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
ministral-3:8b-cloud,e245fbee117a_20260204134055,1,43.7722487449646,1257,1916,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,e245fbee117a_20260204134055,2,55.48052716255188,1295,487,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,e245fbee117a_20260204134055,3,59.12418174743652,1328,906,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,e245fbee117a_20260204134055,4,59.273815870285034,1332,3906,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,e245fbee117a_20260204134055,5,72.44886040687561,961,1061,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,e245fbee117a_20260204134055,6,38.6257746219635,1185,269,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,00bdaf5ea589_20260204134337,1,56.255789279937744,1257,1870,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,00bdaf5ea589_20260204134337,2,34.18401384353638,1295,698,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,00bdaf5ea589_20260204134337,3,24.83540153503418,1328,1006,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,00bdaf5ea589_20260204134337,4,68.05320286750793,1332,3510,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,00bdaf5ea589_20260204134337,5,34.88741493225098,1310,1565,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,00bdaf5ea589_20260204134337,6,14.638424158096313,1185,280,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,555d3ce96625_20260204134418,1,44.88224196434021,1257,2060,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,555d3ce96625_20260204134418,2,22.78707480430603,1295,355,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,555d3ce96625_20260204134418,3,54.70671057701111,1328,1182,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,555d3ce96625_20260204134418,4,49.23041892051697,1332,3214,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,555d3ce96625_20260204134418,5,19.105666637420654,1310,1401,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,555d3ce96625_20260204134418,6,22.06998562812805,1185,280,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,8ca213ae19f5_20260204134348,1,64.24328470230103,1257,1800,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,8ca213ae19f5_20260204134348,2,24.124459505081177,1295,677,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,8ca213ae19f5_20260204134348,3,38.31692719459534,1328,1717,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,8ca213ae19f5_20260204134348,4,44.458460569381714,1332,2550,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,8ca213ae19f5_20260204134348,5,89.76583480834961,1310,706,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,8ca213ae19f5_20260204134348,6,18.27041530609131,1185,286,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,506bcafd12c2_20260204134521,1,51.140686988830566,1257,2001,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,506bcafd12c2_20260204134521,2,28.539855480194092,1295,620,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,506bcafd12c2_20260204134521,3,33.83712458610535,1328,843,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,506bcafd12c2_20260204134521,4,33.45116591453552,1332,3599,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,506bcafd12c2_20260204134521,5,54.37891602516174,961,1552,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,506bcafd12c2_20260204134521,6,13.1906578540802,1185,285,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,9b29a936bc4e_20260204134614,1,39.552945613861084,1257,1551,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,9b29a936bc4e_20260204134614,2,25.240225315093994,1295,612,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,9b29a936bc4e_20260204134614,3,15.8659508228302,1328,865,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,9b29a936bc4e_20260204134614,4,57.37555265426636,983,1188,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,9b29a936bc4e_20260204134614,5,62.8353636264801,961,1022,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,9b29a936bc4e_20260204134614,6,15.641321659088135,1185,263,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,ab2e2ef48f33_20260204134730,1,30.713029623031616,1257,1774,0,,,0.6666666666666666,0,False
ministral-3:8b-cloud,ab2e2ef48f33_20260204134730,2,23.661315202713013,1295,982,0,,,0.6666666666666666,0,False
ministral-3:8b-cloud,ab2e2ef48f33_20260204134730,3,18.38991069793701,1328,932,0,,,0.6666666666666666,0,False
ministral-3:8b-cloud,ab2e2ef48f33_20260204134730,4,35.76670575141907,1332,2262,0,,,0.6666666666666666,0,False
ministral-3:8b-cloud,ab2e2ef48f33_20260204134730,5,21.91386103630066,1310,716,0,,,0.6666666666666666,0,False
ministral-3:8b-cloud,ab2e2ef48f33_20260204134730,6,16.144814014434814,1185,291,0,,,0.6666666666666666,0,False
ministral-3:8b-cloud,ef05e3390d09_20260204134848,1,40.0822651386261,1257,2073,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,ef05e3390d09_20260204134848,2,26.560654878616333,1295,748,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,ef05e3390d09_20260204134848,3,22.223946809768677,1328,908,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,ef05e3390d09_20260204134848,4,31.974165678024292,1332,2416,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,ef05e3390d09_20260204134848,5,24.94794201850891,1310,722,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,ef05e3390d09_20260204134848,6,22.397271394729614,1185,321,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,453f40523b23_20260204135023,1,31.201421976089478,1257,2204,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,453f40523b23_20260204135023,2,26.703353881835938,1295,818,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,453f40523b23_20260204135023,3,25.74324345588684,1328,1437,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,453f40523b23_20260204135023,4,41.08845043182373,1332,2779,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,453f40523b23_20260204135023,5,20.704925775527954,1310,825,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,453f40523b23_20260204135023,6,27.53407120704651,1185,308,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,527c5e97654c_20260204134837,1,93.53023672103882,1257,1991,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,527c5e97654c_20260204134837,2,25.9548122882843,1295,559,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,527c5e97654c_20260204134837,3,62.611934423446655,979,1108,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,527c5e97654c_20260204134837,4,42.62347173690796,1332,3416,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,527c5e97654c_20260204134837,5,29.421382188796997,1310,1631,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,527c5e97654c_20260204134837,6,26.649237871170044,1185,286,0,,,0.7619047619047619,0,False
ministral-3:8b-cloud,b54be0a6ab38_20260204135139,1,31.19000482559204,1257,1490,0,,,0.7142857142857143,0,False
ministral-3:8b-cloud,b54be0a6ab38_20260204135139,2,21.899563789367676,1295,916,0,,,0.7142857142857143,0,False
