Accuracy_Mean,Model,Accuracy_Std,LaTeX_Cell,N_Experiments,Max_Judge_Retries,Baseline_Full_Doc
0.7619047619047619,gpt-oss:120b-cloud,0.09323285813072008,\makecell{76.2 $\pm$ 9.3},25,0,False
0.7580952380952382,gpt-oss:120b-cloud,0.02721655269759087,\makecell{75.8 $\pm$ 2.7},25,0,True
0.7104761904761905,gpt-oss:120b-cloud,0.08123201004396179,\makecell{71.0 $\pm$ 8.1},25,2,False
0.7580952380952382,gpt-oss:120b-cloud,0.023489918391982122,\makecell{75.8 $\pm$ 2.3},25,2,True
0.45333333333333337,gpt-oss:20b-cloud,0.07668490367734072,\makecell{45.3 $\pm$ 7.7},25,0,False
0.7733333333333333,gpt-oss:20b-cloud,0.04616837959444123,\makecell{77.3 $\pm$ 4.6},25,0,True
0.6666666666666667,gpt-oss:20b-cloud,0.1360827634879544,\makecell{66.7 $\pm$ 13.6},25,2,False
0.7714285714285714,gpt-oss:20b-cloud,0.038880789567986955,\makecell{77.1 $\pm$ 3.9},25,2,True
0.7695238095238095,ministral-3:14b-cloud,0.035528617913649835,\makecell{77.0 $\pm$ 3.6},25,0,False
0.7733333333333333,ministral-3:14b-cloud,0.06341264874742279,\makecell{77.3 $\pm$ 6.3},25,0,True
0.7619047619047619,ministral-3:14b-cloud,0.0495634761777651,\makecell{76.2 $\pm$ 5.0},25,2,False
0.779047619047619,ministral-3:14b-cloud,0.04738035414793429,\makecell{77.9 $\pm$ 4.7},25,2,True
0.7676190476190476,ministral-3:3b-cloud,0.03965078094221205,\makecell{76.8 $\pm$ 4.0},25,0,False
0.7428571428571428,ministral-3:3b-cloud,0.0363696483726654,\makecell{74.3 $\pm$ 3.6},25,0,True
0.7485714285714287,ministral-3:3b-cloud,0.07341162590379159,\makecell{74.9 $\pm$ 7.3},25,2,False
0.7447619047619046,ministral-3:3b-cloud,0.033333333333333326,\makecell{74.5 $\pm$ 3.3},25,2,True
0.7295238095238095,ministral-3:8b-cloud,0.03819431560481259,\makecell{73.0 $\pm$ 3.8},25,0,False
0.7104761904761905,ministral-3:8b-cloud,0.06135285107964347,\makecell{71.0 $\pm$ 6.1},25,0,True
0.7352380952380951,ministral-3:8b-cloud,0.061598755275975414,\makecell{73.5 $\pm$ 6.2},25,2,False
0.7352380952380951,ministral-3:8b-cloud,0.05845064330006972,\makecell{73.5 $\pm$ 5.8},25,2,True
0.5333333333333333,qwen3-next:80b-cloud,0.06734350297014738,\makecell{53.3 $\pm$ 6.7},25,0,False
0.7485714285714287,qwen3-next:80b-cloud,0.02922532165003485,\makecell{74.9 $\pm$ 2.9},25,0,True
0.6552380952380952,qwen3-next:80b-cloud,0.12316683006073868,\makecell{65.5 $\pm$ 12.3},25,2,False
0.7485714285714287,qwen3-next:80b-cloud,0.03769632408583466,\makecell{74.9 $\pm$ 3.8},25,2,True
