Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,80.0,96.0,\makecell{80.0 $~/~$ 96.0}
gpt-oss:120b-cloud,+Cluster,56.00000000000001,80.0,\makecell{56.0 $~/~$ 80.0}
gpt-oss:120b-cloud,+Judge,64.0,84.0,\makecell{64.0 $~/~$ 84.0}
gpt-oss:120b-cloud,+Cluster+Judge,68.0,84.0,\makecell{68.0 $~/~$ 84.0}
qwen3-next:80b-cloud,Base,44.0,72.0,\makecell{44.0 $~/~$ 72.0}
qwen3-next:80b-cloud,+Cluster,80.0,92.0,\makecell{80.0 $~/~$ 92.0}
qwen3-next:80b-cloud,+Judge,32.0,72.0,\makecell{32.0 $~/~$ 72.0}
qwen3-next:80b-cloud,+Cluster+Judge,40.0,72.0,\makecell{40.0 $~/~$ 72.0}
gpt-oss:20b-cloud,Base,28.000000000000004,80.0,\makecell{28.0 $~/~$ 80.0}
gpt-oss:20b-cloud,+Cluster,68.0,100.0,\makecell{68.0 $~/~$ 100.0}
gpt-oss:20b-cloud,+Judge,28.000000000000004,96.0,\makecell{28.0 $~/~$ 96.0}
gpt-oss:20b-cloud,+Cluster+Judge,56.00000000000001,88.0,\makecell{56.0 $~/~$ 88.0}
ministral-3:14b-cloud,Base,4.0,28.000000000000004,\makecell{4.0 $~/~$ 28.0}
ministral-3:14b-cloud,+Cluster,8.0,48.0,\makecell{8.0 $~/~$ 48.0}
ministral-3:14b-cloud,+Judge,0.0,8.0,\makecell{0.0 $~/~$ 8.0}
ministral-3:14b-cloud,+Cluster+Judge,0.0,12.0,\makecell{0.0 $~/~$ 12.0}
ministral-3:3b-cloud,Base,0.0,8.0,\makecell{0.0 $~/~$ 8.0}
ministral-3:3b-cloud,+Cluster,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:3b-cloud,+Judge,4.0,8.0,\makecell{4.0 $~/~$ 8.0}
ministral-3:3b-cloud,+Cluster+Judge,0.0,20.0,\makecell{0.0 $~/~$ 20.0}
ministral-3:8b-cloud,Base,0.0,4.0,\makecell{0.0 $~/~$ 4.0}
ministral-3:8b-cloud,+Cluster,0.0,8.0,\makecell{0.0 $~/~$ 8.0}
ministral-3:8b-cloud,+Judge,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:8b-cloud,+Cluster+Judge,0.0,24.0,\makecell{0.0 $~/~$ 24.0}
