experiment_id,timestamp,input_path,model_name,embedding_model,characteristics_experiment_id,oml_valid,oml_line_count,oml_instance_count,oml_repetition_count,oml_max_retries,generation_time_seconds,error_count,warning_count
506ac879cb90_20251203204937_oml,2025-12-03T16:14:42.649205,,ministral-3:14b-cloud,embeddinggemma,506ac879cb90_20251203204937,True,321,42,0,5,19.29718017578125,0,0
506ac879cb90_20251203204955_oml,2025-12-03T16:17:59.128432,,ministral-3:14b-cloud,embeddinggemma,506ac879cb90_20251203204955,True,207,30,0,5,16.13614249229431,0,0
506ac879cb90_20251203204949_oml,2025-12-03T16:18:43.781989,,ministral-3:14b-cloud,embeddinggemma,506ac879cb90_20251203204949,True,151,30,0,5,15.591730833053589,0,0
506ac879cb90_20251203204943_oml,2025-12-03T16:20:42.854138,,ministral-3:14b-cloud,embeddinggemma,506ac879cb90_20251203204943,True,216,45,3,5,69.85858416557312,0,0
c304acb90db0_20251203211812_oml,2025-12-03T16:41:01.709995,,ministral-3:14b-cloud,embeddinggemma,c304acb90db0_20251203211812,True,229,45,1,5,36.406675577163696,0,0
c304acb90db0_20251203211857_oml,2025-12-03T16:42:18.793287,,ministral-3:14b-cloud,embeddinggemma,c304acb90db0_20251203211857,True,172,27,1,5,23.357717514038086,0,0
c304acb90db0_20251203211457_oml,2025-12-03T16:42:51.437717,,ministral-3:14b-cloud,embeddinggemma,c304acb90db0_20251203211457,True,151,30,0,5,15.79325270652771,0,0
c304acb90db0_20251203212058_oml,2025-12-03T16:48:44.295471,,ministral-3:14b-cloud,embeddinggemma,c304acb90db0_20251203212058,True,143,29,0,5,14.455260038375854,0,0
5142d6a12b82_20251203214114_oml,2025-12-03T17:03:44.521992,,ministral-3:14b-cloud,embeddinggemma,5142d6a12b82_20251203214114,True,273,56,0,5,24.909659147262573,0,0
5142d6a12b82_20251203214232_oml,2025-12-03T17:07:48.662311,,ministral-3:14b-cloud,embeddinggemma,5142d6a12b82_20251203214232,True,139,27,0,5,15.057848930358887,0,0
5142d6a12b82_20251203214304_oml,2025-12-03T17:13:56.001563,,ministral-3:14b-cloud,embeddinggemma,5142d6a12b82_20251203214304,True,169,27,0,5,15.73668360710144,0,0
5142d6a12b82_20251203214856_oml,2025-12-03T17:15:09.877389,,ministral-3:14b-cloud,embeddinggemma,5142d6a12b82_20251203214856,True,162,33,1,5,29.864068269729614,0,0
c626225bcb73_20251203220357_oml,2025-12-03T17:27:40.352189,,ministral-3:14b-cloud,embeddinggemma,c626225bcb73_20251203220357,True,211,43,1,5,39.06843876838684,0,0
c626225bcb73_20251203220803_oml,2025-12-03T17:41:48.289640,,ministral-3:14b-cloud,embeddinggemma,c626225bcb73_20251203220803,False,194,39,5,5,111.08405017852783,0,0
c626225bcb73_20251203221410_oml,2025-12-03T17:42:56.448153,,ministral-3:14b-cloud,embeddinggemma,c626225bcb73_20251203221410,True,150,30,0,5,15.76025652885437,0,0
c626225bcb73_20251203221524_oml,2025-12-03T17:43:11.387654,,ministral-3:14b-cloud,embeddinggemma,c626225bcb73_20251203221524,True,150,30,0,5,17.74585509300232,0,0
6ec21a939e76_20251203222753_oml,2025-12-03T17:59:17.501487,,ministral-3:14b-cloud,embeddinggemma,6ec21a939e76_20251203222753,True,210,39,1,5,35.931888580322266,0,0
6ec21a939e76_20251203224200_oml,2025-12-03T18:07:01.162723,,ministral-3:14b-cloud,embeddinggemma,6ec21a939e76_20251203224200,True,198,42,1,5,36.70368695259094,0,0
6ec21a939e76_20251203224324_oml,2025-12-03T18:12:21.314437,,ministral-3:14b-cloud,embeddinggemma,6ec21a939e76_20251203224324,True,149,30,0,5,15.719485759735107,0,0
6ec21a939e76_20251203224310_oml,2025-12-03T18:14:05.624643,,ministral-3:14b-cloud,embeddinggemma,6ec21a939e76_20251203224310,True,148,24,0,5,13.742077350616455,0,0
