experiment_id,block_number,processing_time,input_tokens,output_tokens,retries
46dba86fce0c_20251203155519,1,18.34605836868286,4504,1525,0
46dba86fce0c_20251203155519,2,59.249956369400024,5637,1140,3
46dba86fce0c_20251203155519,3,169.77747297286987,4944,1527,3
46dba86fce0c_20251203155519,4,85.78659272193909,5552,1017,3
46dba86fce0c_20251203155519,5,90.3692889213562,4943,1302,3
46dba86fce0c_20251203155519,6,110.50533604621887,3980,657,3
ab8843383878_20251203160515,1,47.27946734428406,4503,1157,0
ab8843383878_20251203160515,2,67.65441536903381,5719,805,2
ab8843383878_20251203160515,3,57.334532260894775,4922,1578,1
ab8843383878_20251203160515,4,73.65193819999695,5614,1039,3
ab8843383878_20251203160515,5,78.44490075111389,5093,1090,1
ab8843383878_20251203160515,6,71.30436372756958,3916,815,3
46dba86fce0c_20251203160627,1,31.95653200149536,4503,1238,0
46dba86fce0c_20251203160627,2,65.83098721504211,5681,1146,3
46dba86fce0c_20251203160627,3,190.9339427947998,0,0,3
46dba86fce0c_20251203160627,4,96.05353474617004,5519,989,3
46dba86fce0c_20251203160627,5,44.35292673110962,4920,1021,1
46dba86fce0c_20251203160627,6,65.09645771980286,3941,708,3
c89933de2c91_20251203161254,1,18.898260593414307,4503,1425,0
c89933de2c91_20251203161254,2,52.750927448272705,5625,986,1
c89933de2c91_20251203161254,3,133.52286887168884,4888,1190,2
c89933de2c91_20251203161254,4,71.28336548805237,5541,1210,3
c89933de2c91_20251203161254,5,97.43672156333923,4807,1529,2
c89933de2c91_20251203161254,6,18.96970272064209,3981,726,1
ab8843383878_20251203161552,1,15.30406379699707,4504,1350,0
ab8843383878_20251203161552,2,82.89449262619019,5643,1213,3
ab8843383878_20251203161552,3,111.8605842590332,4973,1517,2
ab8843383878_20251203161552,4,99.45422577857971,5597,1058,3
ab8843383878_20251203161552,5,31.256688594818115,4552,1634,0
ab8843383878_20251203161552,6,10.184503078460693,3704,1035,0
b0b638a12968_20251203162034,1,11.595311403274536,4503,1410,0
b0b638a12968_20251203162034,2,58.911609411239624,5559,844,3
b0b638a12968_20251203162034,3,70.82247138023376,4884,1269,1
