experiment_id,timestamp,input_path,model_name,embedding_model,judge_model_name,chunk_size,chunk_overlap,temperature,extraction_rate,extracted_count,total_characteristics,average_description_length,processing_time_seconds,total_input_tokens,total_output_tokens,error_count,warning_count
0103a057def8_20251203192215,2025-12-03T14:29:07.822509,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,95.23809523809523,20,21,2397.35,412.6174302101135,25400,9626,0,0
0103a057def8_20251203192223,2025-12-03T14:30:28.420373,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,85.71428571428571,18,21,2055.277777777778,484.77798438072205,25250,9608,0,0
0103a057def8_20251203192220,2025-12-03T14:31:15.108306,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2145.6315789473683,534.2946326732635,25189,9152,0,0
0103a057def8_20251203192218,2025-12-03T14:32:57.714845,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2302.7894736842104,639.6374249458313,26371,9385,0,0
b4fa2e5b2d8e_20251203193212,2025-12-03T14:39:50.981797,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2125.157894736842,458.2855830192566,25682,8743,0,0
b4fa2e5b2d8e_20251203193132,2025-12-03T14:40:00.327067,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,95.23809523809523,20,21,1992.5,507.9888484477997,29528,9002,0,0
b4fa2e5b2d8e_20251203193224,2025-12-03T14:43:34.685374,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,95.23809523809523,20,21,2225.05,669.8809576034546,29638,9601,0,0
b4fa2e5b2d8e_20251203193451,2025-12-03T14:45:59.917391,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2262.5263157894738,668.0370187759399,25666,9260,0,0
ae732cb5db8b_20251203194055,2025-12-03T14:48:55.494714,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,1920.8947368421052,479.7006239891052,25864,8518,0,0
ae732cb5db8b_20251203194115,2025-12-03T14:51:53.081537,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,95.23809523809523,20,21,2192.2,637.8788106441498,29237,9820,0,0
ae732cb5db8b_20251203194535,2025-12-03T14:58:13.014870,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2218.5263157894738,757.8930695056915,25689,9328,0,0
ae732cb5db8b_20251203194726,2025-12-03T14:58:45.139858,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2088.315789473684,678.2858810424805,25936,7260,0,0
3da4e421d1e4_20251203195054,2025-12-03T14:58:48.140958,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,95.23809523809523,20,21,2422.95,473.2939691543579,24062,9124,0,0
3da4e421d1e4_20251203195303,2025-12-03T15:03:12.534140,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2310.5263157894738,608.7554807662964,25954,8841,0,0
3da4e421d1e4_20251203200124,2025-12-03T15:07:27.502841,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,90.47619047619048,19,21,2244.315789473684,363.2439956665039,25690,8626,0,0
3da4e421d1e4_20251203195900,2025-12-03T15:07:35.414421,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,ministral-3:8b-cloud,embeddinggemma,deepseek-v3.1:671b-cloud,3000,500,1.0,100.0,21,21,2633.3809523809523,514.9765536785126,29459,11301,0,0
