experiment_id,timestamp,pdf_path,model_name,embedding_model,chunk_size,chunk_overlap,temperature,extraction_rate,extracted_count,total_characteristics,average_description_length,processing_time_seconds,total_input_tokens,total_output_tokens,error_count,warning_count
86d4af6c7a24_20251020161836,2025-10-20T12:20:55.106250,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,100,0.1,90.47619047619048,19,21,483.8421052631579,139.03176474571228,17757,5340,0,0
9a5c9edddc6b_20251020162057,2025-10-20T12:23:29.306465,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,100,0.1,90.47619047619048,19,21,462.2105263157895,151.54846048355103,17757,5774,0,0
7152852bf34a_20251020162331,2025-10-20T12:25:50.602915,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,200,0.1,85.71428571428571,18,21,429.05555555555554,138.67346835136414,17911,5267,0,0
192e1d37aed9_20251020162553,2025-10-20T12:28:46.632048,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,200,0.1,90.47619047619048,19,21,452.5263157894737,173.3535840511322,17912,6620,0,0
b15ddc673a37_20251020162849,2025-10-20T12:31:01.274967,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,300,0.1,85.71428571428571,18,21,446.1666666666667,132.01145839691162,18745,4945,0,0
5e9d72589c46_20251020163103,2025-10-20T12:33:21.620208,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,300,0.1,90.47619047619048,19,21,432.5263157894737,137.80314183235168,18745,5186,0,0
966a95b57648_20251020163324,2025-10-20T12:35:45.048315,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,400,0.1,85.71428571428571,18,21,474.77777777777777,140.8388228416443,19283,5274,0,0
ae721ec095f2_20251020163547,2025-10-20T12:38:23.260703,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,400,0.1,95.23809523809523,20,21,432.3,155.5392210483551,19276,5850,0,0
c50bb7e0f116_20251020163825,2025-10-20T12:40:42.779216,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,100,0.2,90.47619047619048,19,21,477.10526315789474,136.93655395507812,17757,5187,0,0
c4c3dd52e1a5_20251020164045,2025-10-20T12:43:17.966660,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,100,0.2,90.47619047619048,19,21,456.89473684210526,152.59247493743896,17757,5836,0,0
44dc70e9cec0_20251020164320,2025-10-20T12:45:46.385200,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,200,0.2,95.23809523809523,20,21,440.9,145.78633904457092,17912,5569,0,0
8ee2d92149b3_20251020164549,2025-10-20T12:48:20.887894,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,200,0.2,90.47619047619048,19,21,456.6842105263158,151.50974202156067,17911,5760,0,0
43fa2b2e6375_20251020164823,2025-10-20T12:50:34.121961,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,300,0.2,90.47619047619048,19,21,385.10526315789474,130.51677417755127,18744,4883,0,0
ab739924cf0f_20251020165036,2025-10-20T12:53:09.987799,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,300,0.2,95.23809523809523,20,21,396.65,153.12767815589905,18744,5802,0,0
f8dc3b91a842_20251020165312,2025-10-20T12:55:37.232447,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,400,0.2,85.71428571428571,18,21,487.1111111111111,144.53698706626892,19275,5402,0,0
cb89b9b8c98b_20251020165539,2025-10-20T12:58:03.983000,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,400,0.2,90.47619047619048,19,21,455.2631578947368,144.08499002456665,19275,5382,0,0
30376df66647_20251020165809,2025-10-20T13:00:33.988129,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,100,0.3,90.47619047619048,19,21,457.5263157894737,144.81320238113403,17757,5460,0,0
644e7f3c802f_20251020170038,2025-10-20T13:03:06.250296,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,100,0.3,90.47619047619048,19,21,440.57894736842104,147.49888038635254,17757,5569,0,0
8c32f3148329_20251020170311,2025-10-20T13:05:34.552240,data/papers/The Incubator Case Study for Digital Twin Engineering.pdf,qwen3:8b,embeddinggemma,2000,200,0.3,90.47619047619048,19,21,448.36842105263156,143.26183676719666,17911,5429,0,0
