model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:20b-cloud,f2bdd6e7563e_20260205045023,1,92.93914103507996,1436,812,0,,,,0,False
gpt-oss:20b-cloud,f2bdd6e7563e_20260205045023,2,98.44361066818237,1476,1194,0,,,,0,False
gpt-oss:20b-cloud,f2bdd6e7563e_20260205045023,3,59.60121703147888,1516,454,0,,,,0,False
gpt-oss:20b-cloud,f2bdd6e7563e_20260205045023,4,10.498821258544922,1507,350,0,,,,0,False
gpt-oss:20b-cloud,f2bdd6e7563e_20260205045023,5,16.36927056312561,1487,1351,0,,,,0,False
gpt-oss:20b-cloud,f2bdd6e7563e_20260205045023,6,24.696765661239624,1720,1201,0,,,,0,False
gpt-oss:20b-cloud,24e1e1a28a4b_20260205045311,1,34.64971709251404,1436,302,0,,,,0,False
gpt-oss:20b-cloud,24e1e1a28a4b_20260205045311,2,59.343209743499756,1476,781,0,,,,0,False
gpt-oss:20b-cloud,24e1e1a28a4b_20260205045311,3,14.38311243057251,1516,618,0,,,,0,False
gpt-oss:20b-cloud,24e1e1a28a4b_20260205045311,4,21.95707607269287,1507,628,0,,,,0,False
gpt-oss:20b-cloud,24e1e1a28a4b_20260205045311,5,21.49135732650757,1487,1309,0,,,,0,False
gpt-oss:20b-cloud,24e1e1a28a4b_20260205045311,6,15.497774839401245,1720,1548,0,,,,0,False
gpt-oss:20b-cloud,a9228c4b1e8e_20260205044908,1,137.3681402206421,1436,325,0,,,,0,False
gpt-oss:20b-cloud,a9228c4b1e8e_20260205044908,2,57.89320969581604,1476,375,0,,,,0,False
gpt-oss:20b-cloud,a9228c4b1e8e_20260205044908,3,138.8107395172119,1185,1229,0,,,,0,False
gpt-oss:20b-cloud,a9228c4b1e8e_20260205044908,4,10.86742877960205,1507,644,0,,,,0,False
gpt-oss:20b-cloud,a9228c4b1e8e_20260205044908,5,25.988643407821655,1487,1021,0,,,,0,False
gpt-oss:20b-cloud,a9228c4b1e8e_20260205044908,6,42.06032371520996,1389,1626,0,,,,0,False
gpt-oss:20b-cloud,17fb438d5416_20260205045336,1,61.948219776153564,1436,649,0,,,,0,False
gpt-oss:20b-cloud,17fb438d5416_20260205045336,2,10.666192054748535,1476,571,0,,,,0,False
gpt-oss:20b-cloud,17fb438d5416_20260205045336,3,26.814699172973633,1516,857,0,,,,0,False
gpt-oss:20b-cloud,17fb438d5416_20260205045336,4,15.36313271522522,1507,444,0,,,,0,False
gpt-oss:20b-cloud,17fb438d5416_20260205045336,5,15.957236289978027,1487,292,0,,,,0,False
gpt-oss:20b-cloud,17fb438d5416_20260205045336,6,19.76109266281128,1720,1236,0,,,,0,False
gpt-oss:20b-cloud,e444875d5315_20260205045440,1,8.696593523025513,1436,534,0,,,,0,False
gpt-oss:20b-cloud,e444875d5315_20260205045440,2,24.679661989212036,1476,1422,0,,,,0,False
gpt-oss:20b-cloud,e444875d5315_20260205045440,3,21.30560040473938,1516,1721,0,,,,0,False
gpt-oss:20b-cloud,e444875d5315_20260205045440,4,14.454240083694458,1507,349,0,,,,0,False
gpt-oss:20b-cloud,e444875d5315_20260205045440,5,18.18771767616272,1487,357,0,,,,0,False
gpt-oss:20b-cloud,e444875d5315_20260205045440,6,20.424389362335205,1720,1418,0,,,,0,False
gpt-oss:20b-cloud,d02610a70812_20260205045406,1,40.98943591117859,1436,1119,0,,,,0,False
gpt-oss:20b-cloud,d02610a70812_20260205045406,2,22.381568431854248,1476,1342,0,,,,0,False
gpt-oss:20b-cloud,d02610a70812_20260205045406,3,20.672231197357178,1516,1092,0,,,,0,False
gpt-oss:20b-cloud,d02610a70812_20260205045406,4,16.204147815704346,1507,409,0,,,,0,False
gpt-oss:20b-cloud,d02610a70812_20260205045406,5,21.136291027069092,1487,1789,0,,,,0,False
gpt-oss:20b-cloud,d02610a70812_20260205045406,6,31.165711879730225,1720,1877,0,,,,0,False
gpt-oss:20b-cloud,7b8acebd24eb_20260205045447,1,16.48880887031555,1436,642,0,,,,0,False
gpt-oss:20b-cloud,7b8acebd24eb_20260205045447,2,20.18237829208374,1476,425,0,,,,0,False
gpt-oss:20b-cloud,7b8acebd24eb_20260205045447,3,20.64914584159851,1516,1153,0,,,,0,False
gpt-oss:20b-cloud,7b8acebd24eb_20260205045447,4,13.31650710105896,1507,419,0,,,,0,False
gpt-oss:20b-cloud,7b8acebd24eb_20260205045447,5,16.227928400039673,1487,1249,0,,,,0,False
gpt-oss:20b-cloud,7b8acebd24eb_20260205045447,6,29.38512110710144,1720,691,0,,,,0,False
gpt-oss:20b-cloud,592b77b4b7a3_20260205045229,1,74.30574440956116,1436,307,0,,,,0,False
gpt-oss:20b-cloud,592b77b4b7a3_20260205045229,2,58.50209021568298,1476,589,0,,,,0,False
gpt-oss:20b-cloud,592b77b4b7a3_20260205045229,3,35.13834309577942,1185,248,0,,,,0,False
gpt-oss:20b-cloud,592b77b4b7a3_20260205045229,4,33.58750057220459,1176,362,0,,,,0,False
gpt-oss:20b-cloud,592b77b4b7a3_20260205045229,5,26.881702184677124,1487,2083,0,,,,0,False
gpt-oss:20b-cloud,592b77b4b7a3_20260205045229,6,27.211052656173706,1720,620,0,,,,0,False
gpt-oss:20b-cloud,5508e9a660f1_20260205045536,1,18.866133451461792,1436,1324,0,,,,0,False
gpt-oss:20b-cloud,5508e9a660f1_20260205045536,2,16.31087589263916,1476,558,0,,,,0,False
gpt-oss:20b-cloud,5508e9a660f1_20260205045536,3,30.51980972290039,1516,1360,0,,,,0,False
gpt-oss:20b-cloud,5508e9a660f1_20260205045536,4,14.548709869384766,1507,450,0,,,,0,False
gpt-oss:20b-cloud,5508e9a660f1_20260205045536,5,22.702401399612427,1487,1176,0,,,,0,False
gpt-oss:20b-cloud,5508e9a660f1_20260205045536,6,12.792283296585083,1720,784,0,,,,0,False
gpt-oss:20b-cloud,ffb108a4a6d2_20260205045614,1,27.301862001419067,1436,958,0,,,,0,False
gpt-oss:20b-cloud,ffb108a4a6d2_20260205045614,2,11.537479877471924,1476,436,0,,,,0,False
