Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,60.0,84.0,\makecell{60.0 $~/~$ 84.0}
gpt-oss:120b-cloud,+Cluster,92.0,92.0,\makecell{92.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Judge,56.00000000000001,92.0,\makecell{56.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Cluster+Judge,76.0,92.0,\makecell{76.0 $~/~$ 92.0}
qwen3-next:80b-cloud,Base,12.0,76.0,\makecell{12.0 $~/~$ 76.0}
qwen3-next:80b-cloud,+Cluster,64.0,72.0,\makecell{64.0 $~/~$ 72.0}
qwen3-next:80b-cloud,+Judge,24.0,68.0,\makecell{24.0 $~/~$ 68.0}
qwen3-next:80b-cloud,+Cluster+Judge,56.00000000000001,76.0,\makecell{56.0 $~/~$ 76.0}
gpt-oss:20b-cloud,Base,28.000000000000004,84.0,\makecell{28.0 $~/~$ 84.0}
gpt-oss:20b-cloud,+Cluster,88.0,96.0,\makecell{88.0 $~/~$ 96.0}
gpt-oss:20b-cloud,+Judge,48.0,88.0,\makecell{48.0 $~/~$ 88.0}
gpt-oss:20b-cloud,+Cluster+Judge,72.0,92.0,\makecell{72.0 $~/~$ 92.0}
ministral-3:14b-cloud,Base,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
ministral-3:14b-cloud,+Cluster,32.0,72.0,\makecell{32.0 $~/~$ 72.0}
ministral-3:14b-cloud,+Judge,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
ministral-3:14b-cloud,+Cluster+Judge,20.0,56.00000000000001,\makecell{20.0 $~/~$ 56.0}
ministral-3:3b-cloud,Base,4.0,12.0,\makecell{4.0 $~/~$ 12.0}
ministral-3:3b-cloud,+Cluster,12.0,16.0,\makecell{12.0 $~/~$ 16.0}
ministral-3:3b-cloud,+Judge,0.0,0.0,\makecell{0.0 $~/~$ 0.0}
ministral-3:3b-cloud,+Cluster+Judge,0.0,4.0,\makecell{0.0 $~/~$ 4.0}
ministral-3:8b-cloud,Base,0.0,4.0,\makecell{0.0 $~/~$ 4.0}
ministral-3:8b-cloud,+Cluster,0.0,24.0,\makecell{0.0 $~/~$ 24.0}
ministral-3:8b-cloud,+Judge,0.0,4.0,\makecell{0.0 $~/~$ 4.0}
ministral-3:8b-cloud,+Cluster+Judge,4.0,24.0,\makecell{4.0 $~/~$ 24.0}
