model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy,max_judge_retries,baseline_full_doc
ministral-3:8b-cloud,0b7b31c0d111_20260130143457,1,10.693140745162964,1444,1989,0,,,0,False
ministral-3:8b-cloud,0b7b31c0d111_20260130143457,2,6.416073799133301,1482,1054,0,,,0,False
ministral-3:8b-cloud,0b7b31c0d111_20260130143457,3,4.443855047225952,1515,791,0,,,0,False
ministral-3:8b-cloud,0b7b31c0d111_20260130143457,4,9.779889822006226,1519,1443,0,,,0,False
ministral-3:8b-cloud,0b7b31c0d111_20260130143457,5,3.8758506774902344,1497,672,0,,,0,False
ministral-3:8b-cloud,0b7b31c0d111_20260130143457,6,2.531407356262207,1402,385,0,,,0,False
ministral-3:8b-cloud,0c35c92d752e_20260130143651,1,11.44102954864502,1444,2200,0,,,0,False
ministral-3:8b-cloud,0c35c92d752e_20260130143651,2,7.476442098617554,1482,1352,0,,,0,False
ministral-3:8b-cloud,0c35c92d752e_20260130143651,3,5.674701929092407,1515,930,0,,,0,False
ministral-3:8b-cloud,0c35c92d752e_20260130143651,4,6.657580375671387,1519,1209,0,,,0,False
ministral-3:8b-cloud,0c35c92d752e_20260130143651,5,6.626161813735962,1497,902,0,,,0,False
ministral-3:8b-cloud,0c35c92d752e_20260130143651,6,2.633485794067383,1402,410,0,,,0,False
ministral-3:8b-cloud,7f90f7e8ac86_20260130143817,1,11.918076753616333,1444,2150,0,,,0,False
ministral-3:8b-cloud,7f90f7e8ac86_20260130143817,2,7.893784999847412,1482,1136,0,,,0,False
ministral-3:8b-cloud,7f90f7e8ac86_20260130143817,3,4.153411865234375,1515,701,0,,,0,False
ministral-3:8b-cloud,7f90f7e8ac86_20260130143817,4,7.791619539260864,1519,1474,0,,,0,False
ministral-3:8b-cloud,7f90f7e8ac86_20260130143817,5,4.7420430183410645,1497,683,0,,,0,False
ministral-3:8b-cloud,7f90f7e8ac86_20260130143817,6,2.2723560333251953,1402,317,0,,,0,False
ministral-3:8b-cloud,446971d775c9_20260130143939,1,11.788440227508545,1444,2268,0,,,0,False
ministral-3:8b-cloud,446971d775c9_20260130143939,2,3.6250336170196533,1482,640,0,,,0,False
ministral-3:8b-cloud,446971d775c9_20260130143939,3,5.225880861282349,1515,953,0,,,0,False
ministral-3:8b-cloud,446971d775c9_20260130143939,4,9.445938110351562,1519,1734,0,,,0,False
ministral-3:8b-cloud,446971d775c9_20260130143939,5,3.686133861541748,1497,638,0,,,0,False
ministral-3:8b-cloud,446971d775c9_20260130143939,6,2.629934787750244,1402,412,0,,,0,False
ministral-3:8b-cloud,35fb8dab83fc_20260130144138,1,9.31113338470459,1444,1638,0,,,0,False
ministral-3:8b-cloud,35fb8dab83fc_20260130144138,2,8.442224025726318,1482,970,0,,,0,False
ministral-3:8b-cloud,35fb8dab83fc_20260130144138,3,5.807052373886108,1515,1066,0,,,0,False
ministral-3:8b-cloud,35fb8dab83fc_20260130144138,4,7.0242555141448975,1519,1225,0,,,0,False
ministral-3:8b-cloud,35fb8dab83fc_20260130144138,5,7.552042484283447,1497,904,0,,,0,False
ministral-3:8b-cloud,35fb8dab83fc_20260130144138,6,2.574888229370117,1402,407,0,,,0,False
ministral-3:8b-cloud,6dc8e7b16f58_20260130144259,1,11.163666725158691,1444,2150,0,,,0,False
ministral-3:8b-cloud,6dc8e7b16f58_20260130144259,2,4.130839109420776,1482,632,0,,,0,False
ministral-3:8b-cloud,6dc8e7b16f58_20260130144259,3,4.933777093887329,1515,877,0,,,0,False
ministral-3:8b-cloud,6dc8e7b16f58_20260130144259,4,7.79825234413147,1519,1469,0,,,0,False
ministral-3:8b-cloud,6dc8e7b16f58_20260130144259,5,4.448023557662964,1497,790,0,,,0,False
ministral-3:8b-cloud,6dc8e7b16f58_20260130144259,6,2.406747817993164,1402,375,0,,,0,False
ministral-3:8b-cloud,df19b653705f_20260130144422,1,17.44130229949951,1095,1264,0,,,0,False
ministral-3:8b-cloud,df19b653705f_20260130144422,2,7.055984973907471,1482,1076,0,,,0,False
ministral-3:8b-cloud,df19b653705f_20260130144422,3,6.374011993408203,1515,1031,0,,,0,False
ministral-3:8b-cloud,df19b653705f_20260130144422,4,7.119870662689209,1519,1334,0,,,0,False
ministral-3:8b-cloud,df19b653705f_20260130144422,5,7.253227472305298,1497,743,0,,,0,False
ministral-3:8b-cloud,df19b653705f_20260130144422,6,2.883985996246338,1402,446,0,,,0,False
ministral-3:8b-cloud,21ea43338a7b_20260130144551,1,33.319117069244385,1444,2086,0,,,0,False
ministral-3:8b-cloud,21ea43338a7b_20260130144551,2,4.139960289001465,1482,732,0,,,0,False
ministral-3:8b-cloud,21ea43338a7b_20260130144551,3,5.288951635360718,1515,956,0,,,0,False
ministral-3:8b-cloud,21ea43338a7b_20260130144551,4,3.5719640254974365,1519,582,0,,,0,False
ministral-3:8b-cloud,21ea43338a7b_20260130144551,5,5.799945592880249,1497,1067,0,,,0,False
ministral-3:8b-cloud,21ea43338a7b_20260130144551,6,4.59721565246582,1402,392,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,1,6.2637200355529785,1444,1053,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,2,6.829894065856934,1482,723,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,3,7.488697052001953,1515,1223,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,4,6.101039171218872,1519,1002,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,5,6.178539276123047,1497,1142,0,,,0,False
ministral-3:8b-cloud,5fd1471eb2ef_20260130144729,6,2.612651824951172,1402,408,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,1,11.012198686599731,1444,2013,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,2,8.22307801246643,1482,1356,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,3,4.459221363067627,1515,792,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,4,7.5410449504852295,1519,1395,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,5,4.706533670425415,1497,833,0,,,0,False
ministral-3:8b-cloud,685df7c3d293_20260130144857,6,4.759085655212402,1402,441,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,1,13.006050109863281,1444,2444,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,2,7.813971519470215,1482,1095,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,3,5.6942808628082275,1515,1024,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,4,6.331746339797974,1519,1125,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,5,5.56148624420166,1497,995,0,,,0,False
ministral-3:8b-cloud,0d8c7f1f0005_20260130145026,6,2.656907558441162,1402,379,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,1,26.43414068222046,1095,1760,0,,,0,False
ministral-3:8b-cloud,b95af3d7961a_20260130145136,2,5.60764741897583,1482,1008,0,,,0,False
