model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,accuracy
qwen3-next:80b-cloud,490889a9dd1d_20260129213625,1,35.09858274459839,1404,4804,0,,0.42857142857142855
qwen3-next:80b-cloud,490889a9dd1d_20260129213625,2,12.734046459197998,1447,1640,0,,0.42857142857142855
qwen3-next:80b-cloud,490889a9dd1d_20260129213625,3,24.535037755966187,1487,3119,0,,0.42857142857142855
qwen3-next:80b-cloud,490889a9dd1d_20260129213625,4,13.458239078521729,1472,1821,0,,0.42857142857142855
qwen3-next:80b-cloud,490889a9dd1d_20260129213625,5,24.64897584915161,1461,3382,0,,0.42857142857142855
qwen3-next:80b-cloud,490889a9dd1d_20260129213625,6,16.636645555496216,1774,2327,0,,0.42857142857142855
qwen3-next:80b-cloud,2c7f9066c2c2_20260129213949,1,24.695196866989136,1404,3803,0,,0.38095238095238093
qwen3-next:80b-cloud,2c7f9066c2c2_20260129213949,2,11.875900268554688,1447,1686,0,,0.38095238095238093
qwen3-next:80b-cloud,2c7f9066c2c2_20260129213949,3,26.417346715927124,1487,4388,0,,0.38095238095238093
qwen3-next:80b-cloud,2c7f9066c2c2_20260129213949,4,18.26055145263672,1472,2513,0,,0.38095238095238093
qwen3-next:80b-cloud,2c7f9066c2c2_20260129213949,5,23.729522466659546,1461,3695,0,,0.38095238095238093
qwen3-next:80b-cloud,2c7f9066c2c2_20260129213949,6,26.970221996307373,1774,4362,0,,0.38095238095238093
qwen3-next:80b-cloud,be1f8396e282_20260129214356,1,20.427579164505005,1404,3214,0,,0.38095238095238093
qwen3-next:80b-cloud,be1f8396e282_20260129214356,2,11.632285594940186,1447,1690,0,,0.38095238095238093
qwen3-next:80b-cloud,be1f8396e282_20260129214356,3,19.369316577911377,1487,3237,0,,0.38095238095238093
qwen3-next:80b-cloud,be1f8396e282_20260129214356,4,12.655481815338135,1472,2022,0,,0.38095238095238093
qwen3-next:80b-cloud,be1f8396e282_20260129214356,5,24.877999544143677,1461,4107,0,,0.38095238095238093
qwen3-next:80b-cloud,be1f8396e282_20260129214356,6,16.62333106994629,1774,2625,0,,0.38095238095238093
qwen3-next:80b-cloud,ff0ecb89dcc7_20260129214712,1,28.910042762756348,1404,4953,0,,0.47619047619047616
qwen3-next:80b-cloud,ff0ecb89dcc7_20260129214712,2,9.486377477645874,1447,1522,0,,0.47619047619047616
qwen3-next:80b-cloud,ff0ecb89dcc7_20260129214712,3,24.754098176956177,1487,4344,0,,0.47619047619047616
qwen3-next:80b-cloud,ff0ecb89dcc7_20260129214712,4,10.117676734924316,1472,1507,0,,0.47619047619047616
qwen3-next:80b-cloud,ff0ecb89dcc7_20260129214712,5,29.62922430038452,1461,4835,0,,0.47619047619047616
qwen3-next:80b-cloud,ff0ecb89dcc7_20260129214712,6,24.857657194137573,1774,4462,0,,0.47619047619047616
qwen3-next:80b-cloud,ef44874afa44_20260129215049,1,22.42064356803894,1404,3627,0,,0.3333333333333333
qwen3-next:80b-cloud,ef44874afa44_20260129215049,2,11.514528274536133,1447,1787,0,,0.3333333333333333
qwen3-next:80b-cloud,ef44874afa44_20260129215049,3,22.80956268310547,1487,3665,0,,0.3333333333333333
qwen3-next:80b-cloud,ef44874afa44_20260129215049,4,9.605835199356079,1472,1382,0,,0.3333333333333333
qwen3-next:80b-cloud,ef44874afa44_20260129215049,5,23.613967895507812,1461,3847,0,,0.3333333333333333
qwen3-next:80b-cloud,ef44874afa44_20260129215049,6,53.01796507835388,1774,8702,0,,0.3333333333333333
qwen3-next:80b-cloud,46de1abef949_20260129215430,1,25.360458612442017,1404,3948,0,,0.38095238095238093
qwen3-next:80b-cloud,46de1abef949_20260129215430,2,10.331288814544678,1447,1642,0,,0.38095238095238093
qwen3-next:80b-cloud,46de1abef949_20260129215430,3,29.7567036151886,1487,4254,0,,0.38095238095238093
qwen3-next:80b-cloud,46de1abef949_20260129215430,4,15.656431913375854,1472,2165,0,,0.38095238095238093
qwen3-next:80b-cloud,46de1abef949_20260129215430,5,10.3225257396698,1461,1445,0,,0.38095238095238093
qwen3-next:80b-cloud,46de1abef949_20260129215430,6,22.630752325057983,1774,3415,0,,0.38095238095238093
qwen3-next:80b-cloud,6b7c28c5612c_20260129215743,1,19.913047790527344,1404,2816,0,,0.3333333333333333
qwen3-next:80b-cloud,6b7c28c5612c_20260129215743,2,12.955833435058594,1447,1902,0,,0.3333333333333333
qwen3-next:80b-cloud,6b7c28c5612c_20260129215743,3,25.35105013847351,1487,4180,0,,0.3333333333333333
qwen3-next:80b-cloud,6b7c28c5612c_20260129215743,4,8.238681316375732,1472,1383,0,,0.3333333333333333
qwen3-next:80b-cloud,6b7c28c5612c_20260129215743,5,13.6296226978302,1461,2264,0,,0.3333333333333333
qwen3-next:80b-cloud,6b7c28c5612c_20260129215743,6,31.905218362808228,1774,5170,0,,0.3333333333333333
qwen3-next:80b-cloud,6d5b04b1b433_20260129220140,1,25.860086679458618,1404,3889,0,,0.42857142857142855
qwen3-next:80b-cloud,6d5b04b1b433_20260129220140,2,7.3344550132751465,1447,1206,0,,0.42857142857142855
qwen3-next:80b-cloud,6d5b04b1b433_20260129220140,3,22.9857976436615,1487,4026,0,,0.42857142857142855
qwen3-next:80b-cloud,6d5b04b1b433_20260129220140,4,9.531079292297363,1472,1801,0,,0.42857142857142855
qwen3-next:80b-cloud,6d5b04b1b433_20260129220140,5,25.40736174583435,1461,4610,0,,0.42857142857142855
qwen3-next:80b-cloud,6d5b04b1b433_20260129220140,6,17.55100917816162,1774,3117,0,,0.42857142857142855
qwen3-next:80b-cloud,9760665d379d_20260129220722,1,22.872021913528442,1404,4132,0,,0.38095238095238093
qwen3-next:80b-cloud,9760665d379d_20260129220722,2,8.601763725280762,1447,1493,0,,0.38095238095238093
qwen3-next:80b-cloud,9760665d379d_20260129220722,3,21.922775268554688,1487,3839,0,,0.38095238095238093
qwen3-next:80b-cloud,9760665d379d_20260129220722,4,8.052372217178345,1472,1362,0,,0.38095238095238093
qwen3-next:80b-cloud,9760665d379d_20260129220722,5,10.976121425628662,1461,1896,0,,0.38095238095238093
qwen3-next:80b-cloud,9760665d379d_20260129220722,6,19.54217767715454,1774,3577,0,,0.38095238095238093
qwen3-next:80b-cloud,82124bfd6df2_20260129221009,1,23.640623569488525,1404,4324,0,,0.38095238095238093
qwen3-next:80b-cloud,82124bfd6df2_20260129221009,2,12.484330654144287,1447,2367,0,,0.38095238095238093
qwen3-next:80b-cloud,82124bfd6df2_20260129221009,3,17.698858737945557,1487,2879,0,,0.38095238095238093
qwen3-next:80b-cloud,82124bfd6df2_20260129221009,4,8.764359951019287,1472,1647,0,,0.38095238095238093
qwen3-next:80b-cloud,82124bfd6df2_20260129221009,5,12.359928369522095,1461,2341,0,,0.38095238095238093
qwen3-next:80b-cloud,82124bfd6df2_20260129221009,6,9.987940311431885,1774,1901,0,,0.38095238095238093
qwen3-next:80b-cloud,d50d631ea8df_20260129221257,1,14.589620351791382,1404,2595,0,,0.38095238095238093
qwen3-next:80b-cloud,d50d631ea8df_20260129221257,2,8.47233247756958,1447,1443,0,,0.38095238095238093
qwen3-next:80b-cloud,d50d631ea8df_20260129221257,3,19.520698070526123,1487,3460,0,,0.38095238095238093
qwen3-next:80b-cloud,d50d631ea8df_20260129221257,4,8.744957208633423,1472,1637,0,,0.38095238095238093
qwen3-next:80b-cloud,d50d631ea8df_20260129221257,5,12.84239673614502,1461,2347,0,,0.38095238095238093
qwen3-next:80b-cloud,d50d631ea8df_20260129221257,6,12.534101247787476,1774,2224,0,,0.38095238095238093
qwen3-next:80b-cloud,37e103dc8102_20260129221521,1,19.217632055282593,1404,3205,0,,0.42857142857142855
qwen3-next:80b-cloud,37e103dc8102_20260129221521,2,8.941917896270752,1447,1676,0,,0.42857142857142855
