model_name,experiment_id,block_number,processing_time,input_tokens,output_tokens,retries,average_score,average_initial_score,accuracy,max_judge_retries,baseline_full_doc
gpt-oss:120b-cloud,f4bd235741c1_20260204222749,1,39.481045722961426,5001,1213,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,f4bd235741c1_20260204222749,2,26.249050617218018,5593,1442,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,f4bd235741c1_20260204222749,3,29.661574840545654,4457,1880,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,f4bd235741c1_20260204222749,4,20.740697145462036,5777,1027,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,f4bd235741c1_20260204222749,5,24.52389669418335,5566,1537,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,f4bd235741c1_20260204222749,6,23.01286268234253,4353,353,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,400de2b6b5fe_20260204222812,1,14.485538721084595,5001,907,0,,,0.8571428571428571,0,False
gpt-oss:120b-cloud,400de2b6b5fe_20260204222812,2,21.08090829849243,5593,1622,0,,,0.8571428571428571,0,False
gpt-oss:120b-cloud,400de2b6b5fe_20260204222812,3,24.859660387039185,4457,1478,0,,,0.8571428571428571,0,False
gpt-oss:120b-cloud,400de2b6b5fe_20260204222812,4,24.56502103805542,5777,1218,0,,,0.8571428571428571,0,False
gpt-oss:120b-cloud,400de2b6b5fe_20260204222812,5,27.67832589149475,5566,1852,0,,,0.8571428571428571,0,False
gpt-oss:120b-cloud,400de2b6b5fe_20260204222812,6,29.215991020202637,4353,306,0,,,0.8571428571428571,0,False
gpt-oss:120b-cloud,68fe00d74ebd_20260204222800,1,34.95704746246338,5001,1159,0,,,0.7619047619047619,0,False
gpt-oss:120b-cloud,68fe00d74ebd_20260204222800,2,19.921850204467773,5593,1071,0,,,0.7619047619047619,0,False
gpt-oss:120b-cloud,68fe00d74ebd_20260204222800,3,28.740216732025146,4457,1330,0,,,0.7619047619047619,0,False
gpt-oss:120b-cloud,68fe00d74ebd_20260204222800,4,20.307228803634644,5777,1243,0,,,0.7619047619047619,0,False
gpt-oss:120b-cloud,68fe00d74ebd_20260204222800,5,27.400364875793457,5566,1944,0,,,0.7619047619047619,0,False
gpt-oss:120b-cloud,68fe00d74ebd_20260204222800,6,23.310676097869873,4353,346,0,,,0.7619047619047619,0,False
gpt-oss:120b-cloud,f66d9cbab5f3_20260204222753,1,34.28401041030884,5001,1002,0,,,0.9047619047619048,0,False
gpt-oss:120b-cloud,f66d9cbab5f3_20260204222753,2,18.124739408493042,5593,1209,0,,,0.9047619047619048,0,False
gpt-oss:120b-cloud,f66d9cbab5f3_20260204222753,3,32.369972467422485,4457,2408,0,,,0.9047619047619048,0,False
gpt-oss:120b-cloud,f66d9cbab5f3_20260204222753,4,22.697630167007446,5777,961,0,,,0.9047619047619048,0,False
gpt-oss:120b-cloud,f66d9cbab5f3_20260204222753,5,35.24741268157959,5566,2732,0,,,0.9047619047619048,0,False
gpt-oss:120b-cloud,f66d9cbab5f3_20260204222753,6,21.082578659057617,4353,309,0,,,0.9047619047619048,0,False
gpt-oss:120b-cloud,d4d7b66235f3_20260204222804,1,30.063367128372192,5001,1026,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,d4d7b66235f3_20260204222804,2,17.97626805305481,5593,935,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,d4d7b66235f3_20260204222804,3,33.285295486450195,4457,1782,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,d4d7b66235f3_20260204222804,4,23.451850414276123,5777,1372,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,d4d7b66235f3_20260204222804,5,39.925342082977295,5566,2478,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,d4d7b66235f3_20260204222804,6,10.710565328598022,4353,375,0,,,0.8095238095238095,0,False
gpt-oss:120b-cloud,86903d8a0a3a_20260204222745,1,42.328245639801025,5001,1283,0,,,0.7142857142857143,0,False
gpt-oss:120b-cloud,86903d8a0a3a_20260204222745,2,23.54064416885376,5593,1397,0,,,0.7142857142857143,0,False
gpt-oss:120b-cloud,86903d8a0a3a_20260204222745,3,24.405280113220215,4457,1336,0,,,0.7142857142857143,0,False
gpt-oss:120b-cloud,86903d8a0a3a_20260204222745,4,30.556113481521606,5777,1221,0,,,0.7142857142857143,0,False
gpt-oss:120b-cloud,86903d8a0a3a_20260204222745,5,27.615721702575684,5566,1103,0,,,0.7142857142857143,0,False
gpt-oss:120b-cloud,86903d8a0a3a_20260204222745,6,28.063143491744995,4353,244,0,,,0.7142857142857143,0,False
