Model,Configuration,First_Success,Last_Success,LaTeX_Cell
gpt-oss:120b-cloud,Base,72.0,88.0,\makecell{72.0 $~/~$ 88.0}
gpt-oss:120b-cloud,+Cluster,92.0,96.0,\makecell{92.0 $~/~$ 96.0}
gpt-oss:120b-cloud,+Judge,80.0,92.0,\makecell{80.0 $~/~$ 92.0}
gpt-oss:120b-cloud,+Cluster+Judge,92.0,92.0,\makecell{92.0 $~/~$ 92.0}
qwen3-next:80b-cloud,Base,44.0,92.0,\makecell{44.0 $~/~$ 92.0}
qwen3-next:80b-cloud,+Cluster,56.00000000000001,64.0,\makecell{56.0 $~/~$ 64.0}
qwen3-next:80b-cloud,+Judge,40.0,68.0,\makecell{40.0 $~/~$ 68.0}
qwen3-next:80b-cloud,+Cluster+Judge,64.0,76.0,\makecell{64.0 $~/~$ 76.0}
gpt-oss:20b-cloud,Base,72.0,92.0,\makecell{72.0 $~/~$ 92.0}
gpt-oss:20b-cloud,+Cluster,92.0,96.0,\makecell{92.0 $~/~$ 96.0}
gpt-oss:20b-cloud,+Judge,68.0,92.0,\makecell{68.0 $~/~$ 92.0}
gpt-oss:20b-cloud,+Cluster+Judge,96.0,100.0,\makecell{96.0 $~/~$ 100.0}
ministral-3:14b-cloud,Base,36.0,92.0,\makecell{36.0 $~/~$ 92.0}
ministral-3:14b-cloud,+Cluster,52.0,100.0,\makecell{52.0 $~/~$ 100.0}
ministral-3:14b-cloud,+Judge,60.0,100.0,\makecell{60.0 $~/~$ 100.0}
ministral-3:14b-cloud,+Cluster+Judge,48.0,92.0,\makecell{48.0 $~/~$ 92.0}
ministral-3:3b-cloud,Base,0.0,28.000000000000004,\makecell{0.0 $~/~$ 28.0}
ministral-3:3b-cloud,+Cluster,40.0,64.0,\makecell{40.0 $~/~$ 64.0}
ministral-3:3b-cloud,+Judge,4.0,16.0,\makecell{4.0 $~/~$ 16.0}
ministral-3:3b-cloud,+Cluster+Judge,0.0,24.0,\makecell{0.0 $~/~$ 24.0}
ministral-3:8b-cloud,Base,12.0,68.0,\makecell{12.0 $~/~$ 68.0}
ministral-3:8b-cloud,+Cluster,4.0,72.0,\makecell{4.0 $~/~$ 72.0}
ministral-3:8b-cloud,+Judge,12.0,64.0,\makecell{12.0 $~/~$ 64.0}
ministral-3:8b-cloud,+Cluster+Judge,4.0,80.0,\makecell{4.0 $~/~$ 80.0}
